Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,26.070000,27.730000,25.090000,25.500000,10.950592,230381100
2004-02-01,25.600000,26.760000,23.200001,24.010000,10.430934,238682000
2004-03-01,24.180000,25.750000,23.660000,24.540001,10.661192,218585300
2004-04-01,24.719999,25.680000,23.969999,24.900000,10.817586,194629800
2004-05-01,25.250000,25.590000,23.500000,23.700001,10.424818,153431500
2004-06-01,23.730000,25.170000,23.549999,24.250000,10.666743,164496500
2004-07-01,24.400000,25.790001,22.980000,25.340000,11.146198,174622300
2004-08-01,25.379999,26.010000,24.770000,25.790001,11.492978,141458800
2004-09-01,25.870001,26.879999,25.570000,25.950001,11.564282,147801800
2004-10-01,26.250000,27.290001,24.549999,25.260000,11.256796,166480200
2004-11-01,25.350000,26.700001,25.059999,25.170000,11.347052,173450300
2004-12-01,25.400000,26.559999,24.950001,25.770000,11.617541,177412500
2005-01-01,25.980000,25.980000,23.299999,23.760000,10.711399,262757300
2005-02-01,24.000000,24.799999,23.760000,24.059999,10.985908,215743000
2005-03-01,24.209999,24.620001,22.990000,23.690001,10.816966,175532500
2005-04-01,23.780001,24.330000,22.780001,23.799999,10.867196,225416900
2005-05-01,23.950001,24.030001,23.030001,23.379999,10.819605,177612600
2005-06-01,23.240000,24.190001,23.100000,23.750000,10.990832,193232500
2005-07-01,23.879999,24.780001,23.200001,24.450001,11.314775,219659300
2005-08-01,24.590000,24.969999,23.559999,24.080000,11.294692,197751300
2005-09-01,24.030001,24.360001,23.500000,23.969999,11.243094,226207400
2005-10-01,23.920000,24.139999,21.790001,23.850000,11.186810,302855400
2005-11-01,23.860001,25.500000,23.350000,24.910000,11.843413,316870300
2005-12-01,25.150000,25.600000,24.280001,24.490000,11.643725,253849600
2006-01-01,24.490000,26.209999,24.240000,25.950001,12.337877,260139800
2006-02-01,26.000000,28.820000,25.889999,27.590000,13.294788,285579400
2006-03-01,27.600000,28.389999,26.110001,27.040001,13.029760,485230300
2006-04-01,27.230000,27.250000,25.150000,26.209999,12.629809,297722200
2006-05-01,26.389999,26.459999,24.719999,26.059999,12.713573,293944700
2006-06-01,26.350000,28.030001,26.150000,27.889999,13.606351,384925600
2006-07-01,28.100000,30.400000,26.350000,29.990000,14.630853,376891600
2006-08-01,30.200001,31.410000,29.420000,31.129999,15.370189,293753600
2006-09-01,31.330000,33.759998,31.090000,32.560001,16.076239,390514100
2006-10-01,32.560001,35.000000,31.570000,34.250000,16.910662,550229600
2006-11-01,34.490002,34.560001,31.750000,33.910000,16.914680,537504200
2006-12-01,33.950001,36.209999,33.740002,35.750000,17.832495,478148000
2007-01-01,35.669998,37.880001,31.940001,37.630001,18.770254,550602000
2007-02-01,37.700001,38.180000,35.189999,36.799999,18.550150,383506600
2007-03-01,36.169998,39.860001,35.279999,39.430000,19.875889,511488000
