Date,Open,High,Low,Close,Adj Close,Volume,
2004/1/1,98.800003,102.75,96.150002,99.550003,82.440643,80373300,0.066132563
2004/2/1,99.230003,108,98.43,105.870003,87.892654,61639800,-0.014357047
2004/3/1,107.300003,109.290001,98.379997,104.349998,86.630775,86538200,-0.072831751
2004/4/1,104.239998,107.5,96.309998,96.75,80.321304,67727300,-0.026964316
2004/5/1,96.949997,98.5,90.080002,93.910004,78.155495,89214200,0.002662039
2004/6/1,93.800003,95.150002,87.68,94.160004,78.363548,89079100,-0.063402783
2004/7/1,94.169998,94.349998,85.720001,88.190002,73.395081,78642000,0.019459056
2004/8/1,87.779999,91.57,83.290001,89.650002,74.82328,71437600,0.04004513
2004/9/1,89.849998,94.959999,88.889999,93.239998,77.819588,67196300,0.055125851
2004/10/1,93.459999,98.449997,90.739998,98.379997,82.109459,72722800,0.067741684
2004/11/1,98.199997,105.589996,97.800003,104.760002,87.671692,67544700,-0.006873028
2004/12/1,105.25,110.879997,103,104.040001,87.069122,76486500,0.036620767
2005/1/1,104.900002,107.970001,101.790001,107.849998,90.25766,74547600,0.011253771
2005/2/1,107.650002,113.93,107.300003,108.800003,91.273399,56697300,0.010937119
2005/3/1,108.389999,113.169998,107.5,109.989998,92.271667,76524300,-0.029093449
2005/4/1,110.739998,114.25,103.209999,106.790001,89.587166,101950900,-0.084816368
2005/5/1,105.849998,107.290001,94.75,97.5,81.988708,117093700,0.046358774
2005/6/1,97.400002,104.959999,96.43,102.019997,85.789604,94605900,0.053518956
2005/7/1,102.169998,109.980003,102.019997,107.480003,90.380974,63424600,0.036819486
2005/8/1,107.599998,114.870003,106.690002,111.18,93.708755,59458100,0.093542295
2005/9/1,111.699997,121.699997,111.599998,121.580002,102.474487,75008400,0.039397728
2005/10/1,121.290001,127.379997,110.230003,126.370003,106.511749,105098700,0.022604727
2005/11/1,126.699997,134.990005,124.800003,128.960007,108.919418,60948900,-0.009693065
2005/12/1,130.5,134.160004,124.339996,127.709999,107.863655,62056200,0.106021718
2006/1/1,126.699997,141.860001,124.230003,141.25,119.299545,87171600,0.002155683
2006/2/1,141.399994,146.350006,137.800003,141.289993,119.556717,63470300,0.110906851
2006/3/1,141.979996,159.630005,139.179993,156.960007,132.816376,104268100,0.021214794
2006/4/1,157.990005,169.309998,156.919998,160.289993,135.634048,78063800,-0.056309578
2006/5/1,160.300003,166.550003,140.419998,150.949997,127.996552,109492500,-0.00344489
2006/6/1,150.919998,157,136.789993,150.429993,127.555618,139219300,0.015422363
2006/7/1,151.929993,153.729996,138.970001,152.75,129.522827,89186400,-0.024489042
2006/8/1,151.630005,156.869995,145.660004,148.649994,126.350937,86544500,0.138042285
2006/9/1,148.699997,171.149994,147.130005,169.169998,143.792709,105586500,0.121888781
2006/10/1,168.509995,193.600006,168.509995,189.789993,161.319427,118997500,0.028365257
2006/11/1,191,203.350006,182.699997,194.800003,165.895294,93586900,0.023357004
2006/12/1,195.699997,206.699997,191.520004,199.350006,169.770111,92344800,0.064258902
2007/1/1,200.600006,220.509995,197.820007,212.160004,180.679352,132539600,-0.047476471
2007/2/1,213.440002,222.75,194.649994,201.75,172.101334,119592400,0.024188226
2007/3/1,197.119995,212.220001,189.850006,206.630005,176.26416,227470100,0.057977702
2007/4/1,207.669998,226.610001,203.289993,218.610001,186.483551,110794200,0.057540855
2007/5/1,219.080002,233.970001,215.350006,230.820007,197.213974,112049300,-0.060956786
2007/6/1,232.080002,233.639999,212.559998,216.75,185.192444,147822700,-0.131072664
2007/7/1,217.5,225.770004,187.25,188.339996,160.918777,198394200,-0.063786907
2007/8/1,187.029999,198.5,157.380005,176.009995,150.654266,384073300,0.23140653
2007/9/1,176.179993,218.669998,175,216.740005,185.516647,245168100,0.143858885
2007/10/1,215.410004,250.699997,213,247.919998,212.204865,227631800,-0.084410162
2007/11/1,243.550003,244.410004,201.570007,226.639999,194.292618,294444500,-0.051138206
2007/12/1,226.089996,229.350006,196.899994,215.050003,184.356842,214258500,-0.072076582
2008/1/1,214.800003,215.050003,175.419998,199.550003,171.069031,273646200,-0.148441292
2008/2/1,199.149994,208.779999,169,169.630005,145.675323,227080500,-0.02499503
2008/3/1,169.289993,184.520004,140.270004,165.389999,142.034164,369718000,0.157082609
2008/4/1,171.490005,194.929993,161.679993,191.369995,164.345261,226867500,-0.076461043
2008/5/1,191.770004,203.389999,170.800003,176.410004,151.779251,155761400,-0.008559358
2008/6/1,177,187.009995,161.210007,174.899994,150.480118,268616400,0.052258372
2008/7/1,173.130005,190.039993,152.25,184.039993,158.343964,301859300,-0.107318527
2008/8/1,185,186,152.589996,163.970001,141.350723,181266200,-0.219370063
2008/9/1,167.5,172.449997,86.309998,128,110.342606,628148300,-0.27734345
2008/10/1,127.32,142,74,92.5,79.739807,601615500,-0.143448554
