,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
10314,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:含有铂或铂化含物的废碎料:累计值,51.59892407405324,10,0.5659892407405327,10,0.5659892407405324,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 27.33333333333333]",0.3205775237126687,0.3205775237126687,0.2815968697167514,1
10315,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:含有银或银化合物的废碎料:累计值,53.18422740040408,-5,0.6318422740040408,10,-0.4084319382335137,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.6141687249462865,0.6141687249462865,1.2925026068832324,0
10316,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:含有其他贵金属或贵金属化合物的矿灰及矿渣:累计值,48.72048583138355,-5,0.5872048583138355,11,-0.35159445958391605,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.4886259580617028,0.4886259580617028,0.7475072971149057,0
10317,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镶嵌钻石的银制首饰及零件:累计值,28.48903032753109,3,0.3848903032753109,10,-0.1658119759084448,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.3608413438718431,0.3608413438718431,0.39739293088868877,0
10318,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他银制首饰及其零件:累计值,39.47930854334937,10,0.4447930854334937,10,0.4447930854334937,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 41.0]",0.327587307168716,0.327587307168716,0.22517839646710616,1
10319,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镶嵌钻石的黄金制首饰及零件:累计值,0.3114406104543219,4,0.1992768812039821,10,0.05311440610454322,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.08553234240929943,0.08553234240929943,0.27730585041176775,1
10320,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他黄金制首饰及零件:累计值,37.675894166870364,5,0.47675894166870364,-10,-0.15819265982509254,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 16.400000000000002, 5.857142857142857]",-0.3559365397451606,0.3559365397451606,0.5352611841051614,0
10321,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镶嵌钻石的其他贵金属或包贵金属的首饰及零件:累计值,42.83457797614779,-12,0.4783457797614779,-12,0.4783457797614779,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 20.5, 11.714285714285714]",0.47157837936987107,0.47157837936987107,inf,1
10322,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他贵金属或包贵金属的首饰及零件:累计值,64.7554819413096,12,0.6975548194130959,12,0.6975548194130959,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 8.200000000000001]",0.3980062938126052,0.3980062938126052,1.6986996582951444,1
10323,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镶嵌钻石的以贱金属为底的包贵金属制的首饰及零件:累计值,47.74724394843685,12,0.5774724394843684,-12,-0.1332630055081921,"[20.5, 11.714285714285714, 7.454545454545454]","[13.666666666666664, 5.857142857142857, 4.1000000000000005]",-0.38924607626985064,0.38924607626985064,inf,0
10324,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他以贱金属为底的包贵金属制的首饰及零件:累计值,20.919076594213326,10,0.25919076594213325,10,0.25919076594213325,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 16.400000000000002, 11.714285714285714]",0.021810692434034603,0.021810692434034603,0.8985147208958199,1
10325,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:银制器皿及其零件:累计值,12.67288640470601,-9,0.25059224197894714,10,0.1767288640470601,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 27.33333333333333, 5.857142857142857]",-0.03481545857635587,0.03481545857635587,0.5528008128457241,1
10326,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他贵金属制器皿及其零件:累计值,43.893916981599666,12,0.5389391698159967,-10,-0.14330783932325278,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.4046984501064553,0.4046984501064553,0.9914115207448162,0
