,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
8881,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:空头持仓:持仓数量:周环比增减:月,-6.401187948824301,1,0.11453025291687564,11,-0.01401187948824301,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[2.1627906976744184, 3.0999999999999996, 3.321428571428571]",-0.0868635325513723,0.0868635325513723,0.7637182966622678,1
8882,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:套利持仓:持仓数量:周环比增减:月,2.2718273638675823,10,0.09303000401207354,3,0.07271827363867582,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[2.9999999999999996, 2.513513513513513, 4.0434782608695645]",-0.05423673292155295,0.05423673292155295,0.6850810865579429,1
8883,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):非报告头寸:多头持仓:持仓数量:周环比增减:月,3.3328530679966004,4,0.083328530679966,4,0.083328530679966,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[2.1627906976744184, 3.444444444444444, 5.470588235294118]",0.004458430887289497,0.004458430887289528,0.3054304283377928,1
8884,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):非报告头寸:空头持仓:持仓数量:周环比增减:月,-1.23257667232274,10,0.05486532736531062,-2,0.0376742332767726,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[2.513513513513513, 10.333333333333332, 2.214285714285714]",0.008420834782104761,0.008420834782104777,0.34953940150405977,1
8885,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):生产商/贸易商/加工商/用户:多头持仓:持仓数量占比:月,47.90638513010727,9,0.5290638513010727,9,0.5290638513010727,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 9.299999999999999, 5.166666666666666]",0.4318527335901594,0.43185273359015924,0.13476627328353036,1
8886,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):生产商/贸易商/加工商/用户:空头持仓:持仓数量占比:月,44.553582866539905,12,0.49553582866539886,12,0.495535828665399,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[9.299999999999999, 23.249999999999996, 7.153846153846153]",0.11973127286654998,0.11973127286654997,0.169706670593162,1
8887,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:多头持仓:持仓数量占比:月,78.14746892904071,12,0.8814746892904072,-12,-0.6704966550815382,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 15.5, 11.624999999999998]",-0.7682948774707318,0.7682948774707318,0.40918545050781036,0
8888,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:空头持仓:持仓数量占比:月,38.601673779807,8,0.48601673779807003,-12,-0.4109201187634335,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 18.599999999999998, 9.299999999999999]",-0.4392658827301846,0.4392658827301845,0.6725984455718526,0
8889,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:套利持仓:持仓数量占比:月,32.9438807879993,-12,0.3794388078799929,-12,0.379438807879993,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[23.249999999999996, 11.624999999999998, 5.166666666666666]",-0.013584055171602608,0.01358405517160273,0.38454497511205654,1
8890,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:多头持仓:持仓数量占比:月,37.336190103556184,12,0.42336190103556176,12,0.4233619010355618,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[9.299999999999999, 15.5, 5.166666666666666]",0.13694462712266522,0.13694462712266525,0.18352300076834047,1
8891,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:空头持仓:持仓数量占比:月,20.620265753870015,-12,0.25620265753870014,-12,0.25620265753870014,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 9.299999999999999, 4.6499999999999995]",0.18032527432266607,0.1803252743226661,0.1996001622874178,1
8892,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:套利持仓:持仓数量占比:月,85.50059267781616,-11,0.9050059267781613,-11,0.9050059267781616,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[2.9999999999999996, 3.875, 9.299999999999999]",0.8332684261772565,0.8332684261772565,0.05170831665465343,1
8893,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:多头持仓:持仓数量占比:月,16.57954992829266,12,0.21579549928292646,12,0.2157954992829266,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 15.5, 9.299999999999999]",0.06540767929140928,0.06540767929140938,0.2029805376565425,1
8894,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:空头持仓:持仓数量占比:月,65.14124214616068,-12,0.7514124214616068,12,-0.08736261065088927,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 15.5, 10.333333333333332]",-0.46555553120160825,0.4655555312016081,0.4573279541626418,0
8895,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:套利持仓:持仓数量占比:月,59.93918467461867,1,0.6493918467461869,1,0.6493918467461867,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[13.285714285714285, 5.470588235294118, 2.9999999999999996]",0.6248058126356608,0.6248058126356607,0.09270550166530307,1
8896,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):非报告头寸:多头持仓:持仓数量占比:月,64.87138311367856,8,0.7487138311367856,-12,-0.4485970967232151,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[10.333333333333332, 15.5, 5.166666666666666]",-0.6271724221490369,0.627172422149037,0.2449541847299866,0
8897,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):非报告头寸:空头持仓:持仓数量占比:月,79.67611364145777,10,0.8467611364145777,-12,-0.6421650598074246,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 10.333333333333332, 6.199999999999999]",-0.789668991795492,0.7896689917954918,0.41792635440089393,0
8898,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):交易者数量合计:月,72.99693802334161,12,0.7799693802334154,12,0.7799693802334161,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[10.333333333333332, 23.249999999999996, 6.199999999999999]",0.6063280148054043,0.6063280148054042,0.11699073321852912,1
8899,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):生产商/贸易商/加工商/用户:多头持仓:交易者数量:月,70.80720493922144,-12,0.7580720493922143,-12,0.7580720493922143,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 9.299999999999999, 15.5]",0.566856407250558,0.566856407250558,0.11619737760589029,1
8900,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):生产商/贸易商/加工商/用户:空头持仓:交易者数量:月,40.39546104456156,12,0.45395461044561536,12,0.4539546104456156,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[15.5, 9.299999999999999, 7.75]",0.22477605089755381,0.22477605089755373,0.1467670739197091,1
8901,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:多头持仓:交易者数量:月,58.18673051242891,12,0.6818673051242891,-12,-0.11154298794617934,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[23.249999999999996, 9.299999999999999, 4.894736842105263]",-0.29027476766199295,0.29027476766199295,0.18225526218831295,0
8902,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:空头持仓:交易者数量:月,4.089236065365567,8,0.13322836399951446,-3,0.09089236065365568,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 18.599999999999998, 5.470588235294118]",0.04146447821275125,0.041464478212751156,0.1806269456737718,1
8903,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):掉期商:套利持仓:交易者数量:月,51.74680572021336,-12,0.5174680572021335,-12,0.5174680572021336,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 11.624999999999998, 5.812499999999999]",0.2973591787297363,0.2973591787297363,0.14852613271335163,1
8904,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:多头持仓:交易者数量:月,65.88504729196285,5,0.7088504729196281,5,0.7088504729196284,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[9.299999999999999, 15.5, 5.166666666666666]",0.602288877419492,0.6022888774194921,0.08898371766883807,1
8905,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:空头持仓:交易者数量:月,26.040008243772938,5,0.36040008243772936,-12,-0.09774110163030045,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 9.299999999999999, 5.166666666666666]",-0.1937730581766498,0.19377305817664978,0.2454940321441747,0
8906,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):管理基金:套利持仓:交易者数量:月,89.91712149615277,-11,0.8991712149615276,-11,0.8991712149615277,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 9.299999999999999, 4.894736842105263]",0.8730506813792998,0.8730506813792995,0.04900716240116678,1
8907,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:多头持仓:交易者数量:月,75.94358395471897,12,0.8094358395471892,12,0.8094358395471897,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 15.5, 9.299999999999999]",0.7160332702488075,0.7160332702488073,0.07032306383933888,1
8908,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:空头持仓:交易者数量:月,35.722320198857716,-12,0.4572232019885772,11,0.18353818099671484,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[15.5, 10.333333333333332, 6.199999999999999]",-0.1889625269424239,0.1889625269424239,0.22821545408963426,0
8909,申万行业指数:白酒:月,COMEX:1号铜:期货和期权(新版):其他报告头寸:套利持仓:交易者数量:月,82.3785578199149,11,0.823785578199149,11,0.823785578199149,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 2.3846153846153846, 10.333333333333332]",0.782192162923119,0.782192162923119,0.061893574205500214,1
8910,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):总持仓:月,70.8016744973769,-2,0.708016744973769,-2,0.7080167449737689,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 11.624999999999998, 9.299999999999999]",0.6990810497643718,0.6990810497643715,0.11044441452322364,1
8911,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):生产商/贸易商/加工商/用户:多头持仓:月,24.894651220572797,7,0.348946512205728,-2,-0.01980501371880511,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 11.624999999999998, 9.299999999999999]",-0.03692878165444787,0.036928781654447865,0.1928357356473283,0
8912,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):生产商/贸易商/加工商/用户:空头持仓:月,34.514635172380146,0,0.3951463517238016,0,0.39514635172380147,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 18.599999999999998, 7.75]",0.39514635172380147,0.3951463517238014,0.13188572511332625,1
8913,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):掉期商:多头持仓:月,69.34328898599342,-12,0.7434328898599344,-12,0.7434328898599343,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 11.624999999999998, 6.199999999999999]",0.6717481691978466,0.6717481691978466,0.09511193610924605,1
8914,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):掉期商:空头持仓:月,41.447533557902545,8,0.4644753355790253,8,0.4644753355790255,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 7.75, 18.599999999999998]",0.40896711598578833,0.4089671159857883,0.16568069108983918,1
8915,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):掉期商:套利持仓:月,46.3791528441534,12,0.563791528441534,-12,-0.16215163672919494,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[23.249999999999996, 2.9999999999999996, 4.0434782608695645]",-0.32250566897310695,0.32250566897310695,0.29882921370314025,0
8916,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):管理基金:多头持仓:月,57.959842636043895,12,0.6295984263604391,12,0.629598426360439,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 7.75, 13.285714285714285]",0.5032100527429011,0.5032100527429011,0.11364542921529353,1
8917,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):管理基金:空头持仓:月,61.63227820568936,11,0.6663227820568937,11,0.6663227820568935,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 7.75, 11.624999999999998]",0.5114184884648252,0.5114184884648251,0.2316705855074445,1
8918,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):管理基金:套利持仓:月,7.638218129742132,-12,0.27605658191574184,11,0.12638218129742132,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 23.249999999999996, 7.153846153846153]",-0.2129918958598731,0.21299189585987305,0.22851731380004614,1
8919,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):其他报告头寸:多头持仓:月,78.27566464187535,12,0.8327566464187531,12,0.8327566464187535,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[8.454545454545453, 23.249999999999996, 5.470588235294118]",0.5419817753177059,0.5419817753177059,0.1035990580675278,1
8920,申万行业指数:白酒:月,COMEX:银:期货和期权(新版):其他报告头寸:空头持仓:月,55.906893845082465,1,0.5590689384508247,1,0.5590689384508246,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[18.599999999999998, 11.624999999999998, 6.199999999999999]",0.541942492636774,0.5419424926367737,0.11932859753085362,1
