日期,量道CTA精选1号
2019-10-21,1.483
2019-10-22,1.493
2019-10-23,1.471
2019-10-24,1.474
2019-10-25,1.47
2019-10-28,1.499
2019-10-29,1.481
2019-10-30,1.474
2019-10-31,1.454
2019-11-01,1.463
2019-11-04,1.452
2019-11-05,1.445
2019-11-06,1.458
2019-11-07,1.456
2019-11-08,1.466
2019-11-11,1.494
2019-11-12,1.54
2019-11-13,1.529
2019-11-14,1.55
2019-11-15,1.594
2019-11-18,1.574
2019-11-19,1.596
2019-11-20,1.631
2019-11-21,1.604
2019-11-22,1.587
2019-11-25,1.612
2019-11-26,1.578
2019-11-27,1.571
2019-11-28,1.581
2019-11-29,1.607
2019-12-02,1.623
2019-12-03,1.65
2019-12-04,1.647
2019-12-05,1.64
2019-12-06,1.593
2019-12-09,1.659
2019-12-10,1.691
2019-12-11,1.687
2019-12-12,1.676
2019-12-13,1.68
2019-12-16,1.682
2019-12-17,1.688
2019-12-18,1.685
2019-12-19,1.699
2019-12-20,1.691
2019-12-23,1.67
2019-12-24,1.656
2019-12-25,1.654
2019-12-26,1.652
2019-12-27,1.679
2019-12-30,1.696
2019-12-31,1.680736
2020-01-02,1.699392
2020-01-03,1.70448
2020-01-06,1.692608
2020-01-07,1.699392
2020-01-08,1.718048
2020-01-09,1.701088
2020-01-10,1.707872
2020-01-13,1.70448
2020-01-14,1.699392
2020-01-15,1.684128
2020-01-16,1.668864
2020-01-17,1.67056
2020-01-20,1.673952
2020-01-21,1.663776
2020-01-22,1.663776
2020-01-23,1.650208
2020-01-31,1.650208
2020-02-03,1.61968
2020-02-04,1.61968
2020-02-05,1.612896
2020-02-06,1.61968
2020-02-07,1.621376
2020-02-10,1.621376
2020-02-11,1.609504
2020-02-12,1.624768
2020-02-13,1.614592
2020-02-14,1.609504
2020-02-17,1.58576
2020-02-18,1.582368
2020-02-19,1.58576
2020-02-20,1.590848
2020-02-21,1.604416
2020-02-24,1.663776
2020-02-25,1.656992
2020-02-26,1.650208
2020-02-27,1.667168
2020-02-28,1.731616
2020-03-02,1.707872
2020-03-03,1.63664
2020-03-04,1.668864
2020-03-05,1.673952
2020-03-06,1.689216
2020-03-09,1.790976
2020-03-10,1.8232
2020-03-11,1.818112
2020-03-12,1.894432
2020-03-13,1.931744
2020-03-16,1.9504
2020-03-17,1.953792
2020-03-18,2.01824
2020-03-19,2.12
2020-03-20,2.109824
2020-03-23,2.23024
2020-03-24,2.228544
2020-03-25,2.231936
2020-03-26,2.220064
2020-03-27,2.252288
2020-03-30,2.350656
2020-03-31,2.301472
2020-04-01,2.294688
2020-04-02,2.270944
2020-04-03,2.233632
2020-04-07,2.18784
2020-04-08,2.191232
2020-04-09,2.194624
2020-04-10,2.199712
2020-04-13,2.206496
2020-04-14,2.199712
2020-04-15,2.201408
2020-04-16,2.211584
2020-04-17,2.206496
2020-04-20,2.206496
2020-04-21,2.21328
2020-04-22,2.2472
2020-04-23,2.201408
2020-04-24,2.194624
2020-04-27,2.199712
2020-04-28,2.17088
2020-04-29,2.157312
2020-04-30,2.148832
2020-05-06,2.138656
2020-05-07,2.140352
2020-05-08,2.157312
2020-05-11,2.147136
2020-05-12,2.167488
2020-05-13,2.194624
2020-05-14,2.181056
2020-05-15,2.223456
