date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600346,2.3309532000,2.3827521600,2.3280754800,2.3309532000,2.3223200400,3377085,27567213.0000,2,1.608136,1,0.371700,0
2010-01-05,sh.600346,2.3453418000,2.4374288400,2.3309532000,2.4172848000,2.3309532000,6082517,50463622.0000,2,2.896437,1,3.703700,0
2010-01-06,sh.600346,2.4144070800,2.4374288400,2.3626081200,2.3712412800,2.4172848000,4189030,34908072.0000,2,1.994776,1,-1.904800,0
2010-01-07,sh.600346,2.3597304000,2.3798744400,2.2590102000,2.2705210800,2.3712412800,4002517,32116142.0000,2,1.905960,1,-4.247600,0
2010-01-08,sh.600346,2.2474993200,2.2964205600,2.2359884400,2.2877874000,2.2705210800,2237972,17605182.0000,2,1.065701,1,0.760500,0
2010-01-11,sh.600346,2.3021760000,2.3136868800,2.2446216000,2.2590102000,2.2877874000,2655226,20970380.0000,2,1.264393,1,-1.257900,0
2010-01-12,sh.600346,2.2561324800,2.3309532000,2.2474993200,2.3223200400,2.2590102000,3139942,25173837.0000,2,1.495210,1,2.802500,0
2010-01-13,sh.600346,2.2906651200,2.3568526800,2.2762765200,2.2964205600,2.3223200400,4081512,32796496.0000,2,1.943577,1,-1.115200,0
2010-01-14,sh.600346,2.3021760000,2.4028962000,2.3021760000,2.3798744400,2.2964205600,5044613,41393321.0000,2,2.402197,1,3.634100,0
2010-01-15,sh.600346,2.3885076000,2.4028962000,2.3510972400,2.3971407600,2.3798744400,4503893,37276487.0000,2,2.144711,1,0.725500,0
2010-01-18,sh.600346,2.3971407600,2.4374288400,2.3856298800,2.4287956800,2.3971407600,4316003,36269695.0000,2,2.055240,1,1.320500,0
2010-01-19,sh.600346,2.4287956800,2.4287956800,2.3798744400,2.3971407600,2.4287956800,3934772,32778200.0000,2,1.873701,1,-1.303300,0
2010-01-20,sh.600346,2.3971407600,2.4172848000,2.2906651200,2.2906651200,2.3971407600,5249358,42779077.0000,2,2.499694,1,-4.441800,0
2010-01-21,sh.600346,2.2676433600,2.3165646000,2.2676433600,2.3050537200,2.2906651200,2172881,17365710.0000,2,1.034705,1,0.628100,0
2010-01-22,sh.600346,2.3050537200,2.3251977600,2.2417438800,2.3165646000,2.3050537200,3458003,27422502.0000,2,1.646668,1,0.499400,0
2010-01-25,sh.600346,2.2992982800,2.4172848000,2.2791542400,2.4000184800,2.3165646000,6806024,56005544.0000,2,3.240964,1,3.602500,0
2010-01-26,sh.600346,2.3942630400,2.5582930800,2.3021760000,2.5467822000,2.4000184800,20422180,173480581.0000,2,9.724848,1,6.115100,0
2010-01-27,sh.600346,2.4690837600,2.5295158800,2.3885076000,2.4172848000,2.5467822000,12889791,110099589.0000,2,6.137996,1,-5.084700,0
2010-01-28,sh.600346,2.3856298800,2.3856298800,2.2733988000,2.2964205600,2.4172848000,8048671,64513728.0000,2,3.832700,1,-5.000000,0
2010-01-29,sh.600346,2.2733988000,2.3280754800,2.2187221200,2.2906651200,2.2964205600,6272040,49564022.0000,2,2.986686,1,-0.250600,0
2010-02-01,sh.600346,2.2446216000,2.2906651200,2.1899449200,2.1957003600,2.2906651200,4765173,36920382.0000,2,2.269130,1,-4.145700,0
2010-02-02,sh.600346,2.2072112400,2.2417438800,2.1698008800,2.1726786000,2.1957003600,3637879,27890541.0000,2,1.732323,1,-1.048500,0
2010-02-03,sh.600346,2.1726786000,2.2618879200,2.1352682400,2.2561324800,2.1726786000,4566612,35015223.0000,2,2.174577,1,3.841100,0
2010-02-04,sh.600346,2.2474993200,2.3108091600,2.2158444000,2.2992982800,2.2561324800,4774555,37830142.0000,2,2.273598,1,1.913300,0
2010-02-05,sh.600346,2.2762765200,2.4719614800,2.2302330000,2.4431842800,2.2992982800,14386060,119617131.0000,2,6.850505,1,6.257800,0
2010-02-08,sh.600346,2.4115293600,2.5381490400,2.3942630400,2.5180050000,2.4431842800,13882030,120204662.0000,2,6.610490,1,3.062400,0
2010-02-09,sh.600346,2.4863500800,2.6187252000,2.4086516400,2.5410267600,2.5180050000,12116512,105852635.0000,2,5.769768,1,0.914300,0
2010-02-10,sh.600346,2.5180050000,2.5237604400,2.4460620000,2.4748392000,2.5410267600,6337455,54682868.0000,2,3.017836,1,-2.604800,0
2010-02-11,sh.600346,2.4604506000,2.4978609600,2.4115293600,2.4575728800,2.4748392000,4615171,39309901.0000,2,2.197700,1,-0.697700,0
2010-02-12,sh.600346,2.4345511200,2.4805946400,2.4345511200,2.4431842800,2.4575728800,3499760,29871214.0000,2,1.666552,1,-0.585500,0
2010-02-22,sh.600346,2.4172848000,2.5841925600,2.4172848000,2.5237604400,2.4431842800,6774234,59240744.0000,2,3.225826,1,3.298000,0
2010-02-23,sh.600346,2.5467822000,2.7482226000,2.5266381600,2.6877904800,2.5237604400,16559759,152458281.0000,2,7.885600,1,6.499400,0
2010-02-24,sh.600346,2.6446246800,2.7712443600,2.6216029200,2.7395894400,2.6877904800,13703555,129459457.0000,2,6.525502,1,1.927200,0
2010-02-25,sh.600346,2.7395894400,2.8201656000,2.6906682000,2.8172878800,2.7395894400,12363686,118533220.0000,2,5.887470,1,2.836100,0
2010-02-26,sh.600346,2.7971438400,2.9180080800,2.7568557600,2.8489428000,2.8172878800,13465954,133024701.0000,2,6.412359,1,1.123600,0
2010-03-01,sh.600346,2.8604536800,2.9467852800,2.8201656000,2.9180080800,2.8489428000,11623235,116897955.0000,2,5.534874,1,2.424200,0
2010-03-02,sh.600346,2.9036194800,3.0216060000,2.8316764800,2.8662091200,2.9180080800,10563743,106345645.0000,2,5.030354,1,-1.775100,0
2010-03-03,sh.600346,2.8575759600,3.0072174000,2.8345542000,2.8978640400,2.8662091200,9380452,94645277.0000,2,4.466882,1,1.104400,0
2010-03-04,sh.600346,2.9064972000,2.9208858000,2.7108122400,2.7194454000,2.8978640400,9241954,90387673.0000,2,4.400930,1,-6.156900,0
2010-03-05,sh.600346,2.7136899600,2.8633314000,2.7136899600,2.8201656000,2.7194454000,7536790,73399506.0000,2,3.588948,1,3.703700,0
2010-03-08,sh.600346,2.8201656000,3.1021821600,2.8201656000,3.0762826800,2.8201656000,14863675,155108513.0000,2,7.077940,1,9.081600,0
2010-03-09,sh.600346,3.0762826800,3.1827583200,2.9957065200,3.0993044400,3.0762826800,10820203,116779284.0000,2,5.152478,1,0.748400,0
2010-03-10,sh.600346,3.0935490000,3.1309593600,2.9784402000,3.0273614400,3.0993044400,7034021,74518107.0000,2,3.349534,1,-2.321300,0
2010-03-11,sh.600346,3.0273614400,3.0935490000,2.9698070400,3.0705272400,3.0273614400,4356494,45981438.0000,2,2.074521,1,1.425900,0
2010-03-12,sh.600346,3.0503832000,3.1079376000,2.9410298400,2.9985842400,3.0705272400,6809158,70954855.0000,2,3.242456,1,-2.343000,0
2010-03-15,sh.600346,3.0475054800,3.0475054800,2.8374319200,2.8719645600,2.9985842400,4928370,49567510.0000,2,2.346843,1,-4.222600,0
2010-03-16,sh.600346,2.8546982400,2.9381521200,2.8403096400,2.8921086000,2.8719645600,3285281,32936231.0000,2,1.564420,1,0.701400,0
2010-03-17,sh.600346,2.9064972000,2.9352744000,2.8460650800,2.9151303600,2.8921086000,9901124,99421920.0000,2,4.714821,1,0.796000,0
2010-03-18,sh.600346,2.9208858000,3.0647718000,2.8719645600,2.9985842400,2.9151303600,13311832,137155268.0000,2,6.338968,1,2.862800,0
2010-03-19,sh.600346,2.9870733600,3.2604567600,2.9582961600,3.2086578000,2.9985842400,14492368,157663183.0000,2,6.901128,1,7.005800,0
2010-03-22,sh.600346,3.2086578000,3.5165738400,3.1654920000,3.4532640000,3.2086578000,13950286,162157036.0000,2,6.642993,1,7.623300,0
2010-03-23,sh.600346,3.4532640000,3.4590194400,3.3237666000,3.3698101200,3.4532640000,7390486,87155317.0000,2,3.519279,1,-2.416700,0
2010-03-24,sh.600346,3.3957096000,3.5798836800,3.3640546800,3.4216090800,3.3698101200,10523629,126485749.0000,2,5.011252,1,1.537100,0
2010-03-25,sh.600346,3.3813210000,3.4820412000,3.2949894000,3.4043427600,3.4216090800,5559872,65801623.0000,2,2.647558,1,-0.504600,0
2010-03-26,sh.600346,3.3957096000,3.6547044000,3.3669324000,3.6345603600,3.4043427600,10289696,126993224.0000,2,4.899855,1,6.762500,0
2010-03-29,sh.600346,3.5770059600,3.7352805600,3.5453510400,3.5913945600,3.6345603600,7054897,88534695.0000,2,3.359475,1,-1.187600,0
