date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600036,11.3385734000,11.4524018000,11.1678308000,11.1994498000,11.4144590000,74613558,1332370091.0000,2,0.476493,1,-1.883700,0
2010-01-05,sh.600036,11.1994498000,11.3828400000,10.9654692000,11.2120974000,11.1994498000,91401373,1615349974.0000,2,0.583703,1,0.112900,0
2010-01-06,sh.600036,11.1868022000,11.1868022000,10.9464978000,10.9781168000,11.2120974000,77427706,1348702948.0000,2,0.494465,1,-2.086900,0
2010-01-07,sh.600036,10.9591454000,11.0223834000,10.6113364000,10.6935458000,10.9781168000,101943196,1742282280.0000,2,0.651024,1,-2.592200,0
2010-01-08,sh.600036,10.6745744000,10.7378124000,10.5480984000,10.6935458000,10.6935458000,80359862,1351767271.0000,2,0.513190,1,0.000000,0
2010-01-11,sh.600036,11.3069544000,11.3259258000,10.6239840000,10.7125172000,10.6935458000,146569250,2530625181.0000,2,0.936013,1,0.177400,0
2010-01-12,sh.600036,10.6745744000,10.8579646000,10.4026510000,10.7947266000,10.7125172000,112189832,1879278148.0000,2,0.716461,1,0.767400,0
2010-01-13,sh.600036,10.4469176000,10.5607460000,10.0991086000,10.2129370000,10.7947266000,205223276,3344313047.0000,2,1.310586,1,-5.389600,0
2010-01-14,sh.600036,10.2445560000,10.3394130000,10.0864610000,10.3267654000,10.2129370000,124717572,2011436062.0000,2,0.796465,1,1.114600,0
2010-01-15,sh.600036,10.2888226000,10.4089748000,10.1370514000,10.3141178000,10.3267654000,87302199,1417365938.0000,2,0.557525,1,-0.122500,0
2010-01-18,sh.600036,10.1813180000,10.3014702000,10.1117562000,10.2319084000,10.3141178000,96022634,1546142296.0000,2,0.613215,1,-0.797100,0
2010-01-19,sh.600036,10.2572036000,10.3710320000,10.2192608000,10.2761750000,10.2319084000,98444269,1601316552.0000,2,0.628680,1,0.432600,0
2010-01-20,sh.600036,10.3014702000,10.3141178000,10.0042516000,10.0295468000,10.2761750000,107880628,1725434301.0000,2,0.688942,1,-2.400000,0
2010-01-21,sh.600036,10.0421944000,10.3077940000,9.9916040000,10.2129370000,10.0295468000,91285813,1469683734.0000,2,0.582965,1,1.828500,0
2010-01-22,sh.600036,10.1180800000,10.6556030000,10.0864610000,10.5417746000,10.2129370000,194447102,3191885833.0000,2,1.241768,1,3.219800,0
2010-01-25,sh.600036,10.3647082000,10.6176602000,10.2129370000,10.2635274000,10.5417746000,95604860,1565828495.0000,2,0.610547,1,-2.639500,0
2010-01-26,sh.600036,10.2635274000,10.3457368000,10.0548420000,10.1749942000,10.2635274000,97364890,1565571395.0000,2,0.621787,1,-0.862600,0
