date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600004,5.1072668500,5.1726801200,5.1022350600,5.1072668500,5.1072668500,15478854,157747809.0000,2,1.525010,1,0.000000,0
2010-01-05,sh.600004,5.1072668500,5.1525529600,5.1022350600,5.1273940100,5.1072668500,11070922,112683563.0000,2,1.090731,1,0.394100,0
2010-01-06,sh.600004,5.1173304300,5.1273940100,5.0418535800,5.0519171600,5.1273940100,9410665,95205863.0000,2,0.927159,1,-1.472000,0
2010-01-07,sh.600004,5.0317900000,5.0569489500,4.8858680900,4.9210906200,5.0519171600,8961813,88611912.0000,2,0.882937,1,-2.589600,0
2010-01-08,sh.600004,4.8959316700,5.1575847500,4.8959316700,5.1223622200,4.9210906200,14923812,149969456.0000,2,1.470326,1,4.090000,0
2010-01-11,sh.600004,5.1626165400,5.2632523400,5.1223622200,5.2280298100,5.1223622200,21382207,221095349.0000,2,2.106621,1,2.062900,0
2010-01-12,sh.600004,5.1978390700,5.2682841300,5.1575847500,5.2632523400,5.2280298100,12894345,133964253.0000,2,1.270379,1,0.673700,0
2010-01-13,sh.600004,5.1626165400,5.2833795000,5.1374575900,5.1877754900,5.2632523400,14403037,149155601.0000,2,1.419018,1,-1.434000,0
2010-01-14,sh.600004,5.1827437000,5.3991106700,5.1726801200,5.3739517200,5.1877754900,18526370,196244561.0000,2,1.825258,1,3.588700,0
2010-01-15,sh.600004,5.3689199300,5.3991106700,5.2984748700,5.3336974000,5.3739517200,10071593,106958605.0000,2,0.992275,1,-0.749100,0
2010-01-18,sh.600004,5.3336974000,5.5752233200,5.2833795000,5.5148418400,5.3336974000,19183575,208241848.0000,2,1.890007,1,3.396200,0
2010-01-19,sh.600004,5.4846511000,5.6356048000,5.4594921500,5.5852869000,5.5148418400,20218407,224091042.0000,2,1.991961,1,1.277400,0
2010-01-20,sh.600004,5.5953504800,5.6154776400,5.4796193100,5.5299372100,5.5852869000,19838415,218072462.0000,2,1.954524,1,-0.991000,0
2010-01-21,sh.600004,5.6607637500,5.7110816500,5.4343332000,5.4544603600,5.5299372100,19446033,215431588.0000,2,1.915865,1,-1.364900,0
2010-01-22,sh.600004,5.4846511000,5.8268128200,5.4393649900,5.5752233200,5.4544603600,40618213,454945617.0000,2,4.001794,1,2.214000,0
2010-01-25,sh.600004,5.5903186900,5.6758591200,5.3286656100,5.3387291900,5.5752233200,20104855,219784238.0000,2,1.980774,1,-4.241900,0
2010-01-26,sh.600004,5.3387291900,5.3991106700,5.1324258000,5.2280298100,5.3387291900,14489380,151123512.0000,2,1.427525,1,-2.073500,0
2010-01-27,sh.600004,5.2330616000,5.2783477100,5.1374575900,5.1726801200,5.2280298100,7765864,80360216.0000,2,0.765110,1,-1.058700,0
2010-01-28,sh.600004,5.1726801200,5.3991106700,5.1324258000,5.3890470900,5.1726801200,15788529,165734777.0000,2,1.555520,1,4.182900,0
2010-01-29,sh.600004,5.3336974000,5.4796193100,5.3085384500,5.3890470900,5.3890470900,11813610,126922329.0000,2,1.163902,1,0.000000,0
2010-02-01,sh.600004,5.3638881400,5.5903186900,5.2531887600,5.5098100500,5.3890470900,16007213,172469995.0000,2,1.577065,1,2.240900,0
2010-02-02,sh.600004,5.5148418400,5.5802551100,5.3739517200,5.4091742500,5.5098100500,9785794,107021346.0000,2,0.964118,1,-1.826500,0
2010-02-03,sh.600004,5.4142060400,5.6104458500,5.2330616000,5.6054140600,5.4091742500,16073962,174569531.0000,2,1.583642,1,3.627900,0
2010-02-04,sh.600004,5.5852869000,5.8217810300,5.5349690000,5.6959862800,5.6054140600,25417806,288383471.0000,2,2.504217,1,1.615800,0
2010-02-05,sh.600004,5.5752233200,5.6758591200,5.4142060400,5.5098100500,5.6959862800,16836706,185250901.0000,2,1.658789,1,-3.268600,0
2010-02-08,sh.600004,5.5098100500,5.6003822700,5.4645239400,5.4796193100,5.5098100500,7534401,82717745.0000,2,0.742306,1,-0.547900,0
2010-02-09,sh.600004,5.4846511000,5.7211452300,5.4293014100,5.6406365900,5.4796193100,13869204,154976283.0000,2,1.366424,1,2.938500,0
2010-02-10,sh.600004,5.6808909100,5.7261770200,5.6205094300,5.6859227000,5.6406365900,14912750,168129830.0000,2,1.469236,1,0.802900,0
2010-02-11,sh.600004,5.7060498600,5.7362406000,5.5349690000,5.5701915300,5.6859227000,11308314,126439468.0000,2,1.114120,1,-2.035400,0
2010-02-12,sh.600004,5.5903186900,5.6305730100,5.5098100500,5.6104458500,5.5701915300,6342741,70345034.0000,2,0.624901,1,0.722700,0
2010-02-22,sh.600004,5.5802551100,5.8167492400,5.5349690000,5.7060498600,5.6104458500,16588348,187864462.0000,2,1.634320,1,1.704000,0
2010-02-23,sh.600004,5.7110816500,5.7815267100,5.6104458500,5.7613995500,5.7060498600,13038171,148053122.0000,2,1.284549,1,0.970000,0
2010-02-24,sh.600004,5.7261770200,5.8066856600,5.6909544900,5.8016538700,5.7613995500,10981055,125611170.0000,2,1.081877,1,0.698700,0
2010-02-25,sh.600004,5.8016538700,5.9274486200,5.7915902900,5.8217810300,5.8016538700,14844342,172837152.0000,2,1.462497,1,0.346900,0
2010-02-26,sh.600004,5.8318446100,5.9626711500,5.7362406000,5.9274486200,5.8217810300,18682266,217653858.0000,2,1.840617,1,1.815000,0
2010-03-01,sh.600004,5.9324804100,6.1790381200,5.8922260900,6.1085930600,5.9274486200,22186832,268141124.0000,2,2.185895,1,3.056000,0
2010-03-02,sh.600004,6.1035612700,6.1287202200,5.9727347300,6.0381480000,6.1085930600,14264601,171679495.0000,2,1.405379,1,-1.153200,0
2010-03-03,sh.600004,6.0381480000,6.2192924400,6.0029254700,6.1287202200,6.0381480000,13296603,162105173.0000,2,1.310010,1,1.500000,0
2010-03-04,sh.600004,6.1941334900,6.1941334900,5.8871943000,5.9425439900,6.1287202200,15560349,186334043.0000,2,1.533039,1,-3.037800,0
2010-03-05,sh.600004,5.9777665200,6.0381480000,5.8771307200,5.9827983100,5.9425439900,10982228,130184402.0000,2,1.081993,1,0.677400,0
2010-03-08,sh.600004,6.0079572600,6.1337520100,5.9677029400,6.0129890500,5.9827983100,9066087,108920712.0000,2,0.893211,1,0.504600,0
2010-03-09,sh.600004,6.0029254700,6.0079572600,5.8570035600,5.8871943000,6.0129890500,9328476,109759190.0000,2,0.919062,1,-2.092100,0
2010-03-10,sh.600004,5.8871943000,5.9274486200,5.7915902900,5.8670671400,5.8871943000,10381047,120534303.0000,2,1.022763,1,-0.341900,0
2010-03-11,sh.600004,5.8620353500,5.9224168300,5.8117174500,5.8318446100,5.8670671400,11290561,131654211.0000,2,1.112371,1,-0.600300,0
2010-03-12,sh.600004,5.8670671400,5.8871943000,5.7110816500,5.7211452300,5.8318446100,9945762,114156887.0000,2,0.979878,1,-1.898200,0
2010-03-15,sh.600004,5.7312088100,5.8268128200,5.7261770200,5.7714631300,5.7211452300,8145410,93375013.0000,2,0.802503,1,0.879500,0
2010-03-16,sh.600004,5.7865585000,5.8972578800,5.7714631300,5.8570035600,5.7714631300,11516773,133682716.0000,2,1.134657,1,1.482100,0
2010-03-17,sh.600004,5.8972578800,5.9777665200,5.8821625100,5.9576393600,5.8570035600,11852610,139805130.0000,2,1.167745,1,1.718200,0
2010-03-18,sh.600004,5.9777665200,5.9827983100,5.8922260900,5.9274486200,5.9576393600,8483918,99827814.0000,2,0.835854,1,-0.506800,0
2010-03-19,sh.600004,5.9224168300,5.9727347300,5.9022896700,5.9576393600,5.9274486200,7291906,86028367.0000,2,0.718414,1,0.509300,0
2010-03-22,sh.600004,5.9878301000,6.0381480000,5.8771307200,5.9274486200,5.9576393600,7895611,92906848.0000,2,0.777893,1,-0.506800,0
2010-03-23,sh.600004,5.9173850400,5.9375122000,5.8268128200,5.8771307200,5.9274486200,6955725,81197623.0000,2,0.685293,1,-0.848900,0
2010-03-24,sh.600004,5.8771307200,5.9274486200,5.8368764000,5.8469399800,5.8771307200,6360475,74234238.0000,2,0.626648,1,-0.513700,0
2010-03-25,sh.600004,5.8117174500,5.8268128200,5.6406365900,5.6607637500,5.8469399800,9689414,110215750.0000,2,0.954622,1,-3.184200,0
2010-03-26,sh.600004,5.6456683800,5.8016538700,5.6456683800,5.7563677600,5.6607637500,5297248,60376326.0000,2,0.521896,1,1.688900,0
2010-03-29,sh.600004,5.7865585000,5.8620353500,5.7613995500,5.8469399800,5.7563677600,9332764,107848556.0000,2,0.919484,1,1.573400,0
2010-03-30,sh.600004,5.8368764000,5.8368764000,5.7613995500,5.8016538700,5.8469399800,8004236,92080949.0000,2,0.788595,1,-0.774500,0
2010-03-31,sh.600004,5.7865585000,5.7865585000,5.6959862800,5.7261770200,5.8016538700,8674824,98700353.0000,2,0.854662,1,-1.301000,0
2010-04-01,sh.600004,5.7161134400,5.8016538700,5.7060498600,5.7966220800,5.7261770200,8262286,94817702.0000,2,0.814018,1,1.230200,0
2010-04-02,sh.600004,5.7865585000,5.8821625100,5.7664313400,5.8771307200,5.7966220800,9290217,107719419.0000,2,0.915292,1,1.388900,0
2010-04-06,sh.600004,5.8821625100,5.9173850400,5.8217810300,5.9123532500,5.8771307200,8574323,100016115.0000,2,0.844761,1,0.599300,0
2010-04-07,sh.600004,5.9022896700,5.9022896700,5.8066856600,5.8519717700,5.9123532500,6113768,71067782.0000,2,0.602342,1,-1.021300,0
2010-04-08,sh.600004,5.8469399800,5.8570035600,5.7463041800,5.7563677600,5.8519717700,6474031,74468569.0000,2,0.637836,1,-1.633700,0
2010-04-09,sh.600004,5.7764949200,5.8469399800,5.7613995500,5.8368764000,5.7563677600,5562363,64170780.0000,2,0.548016,1,1.398600,0
2010-04-12,sh.600004,5.8368764000,5.9978936800,5.8268128200,5.9978936800,5.8368764000,16678495,196785719.0000,2,1.643201,1,2.758600,0
2010-04-13,sh.600004,6.0129890500,6.0985294800,5.8670671400,5.9928618900,5.9978936800,15486838,184152118.0000,2,1.525797,1,-0.083900,0
