date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600362,34.0668072800,34.7255110400,33.8641292000,33.9485784000,33.9570233200,13469261,549593132.0000,2,3.812665,1,-0.024900,0
2010-01-05,sh.600362,34.2103709200,35.4348843200,34.1681463200,35.1562019600,33.9485784000,18374009,760548068.0000,2,5.201023,1,3.557200,0
2010-01-06,sh.600362,35.3166554400,36.3469356800,35.0886426000,35.5784479600,35.1562019600,21924930,932180353.0000,2,6.206161,1,1.201100,0
2010-01-07,sh.600362,36.3131560000,36.8198512000,34.6832864400,34.8775196000,35.5784479600,21769571,925199048.0000,2,6.162185,1,-1.970100,0
2010-01-08,sh.600362,34.2779302800,34.4552736000,33.2054254400,33.9570233200,34.8775196000,13830735,553429159.0000,2,3.914985,1,-2.639200,0
2010-01-11,sh.600362,34.7508458000,35.4264394000,33.6952308000,33.9908030000,33.9570233200,9583664,388063578.0000,2,2.712792,1,0.099500,0
2010-01-12,sh.600362,33.6952308000,34.3539345600,32.9858575200,34.0245826800,33.9908030000,9196292,365741635.0000,2,2.603140,1,0.099400,0
2010-01-13,sh.600362,32.7662896000,33.0787516400,31.9217976000,32.1075858400,34.0245826800,19446631,748390862.0000,2,5.504644,1,-5.634200,0
2010-01-14,sh.600362,32.4200478800,32.6818404000,31.7613441200,32.4876072400,32.1075858400,8474987,323715554.0000,2,2.398965,1,1.183600,0
2010-01-15,sh.600362,32.4031580400,32.7831794400,32.2342596400,32.7493997600,32.4876072400,7881694,302818341.0000,2,2.231025,1,0.805800,0
2010-01-18,sh.600362,32.3693783600,32.8929634000,32.0653612400,32.7578446800,32.7493997600,7130695,274747536.0000,2,2.018444,1,0.025800,0
2010-01-19,sh.600362,33.1885356000,33.3574340000,32.8676286400,33.0280821200,32.7578446800,6726017,263507944.0000,2,1.903894,1,0.825000,0
2010-01-20,sh.600362,33.0871965600,33.1632008400,31.8373484000,31.9978018800,33.0280821200,7531957,287703234.0000,2,2.132027,1,-3.119400,0
2010-01-21,sh.600362,31.8880179200,31.9049077600,31.0435259200,31.5248863600,31.9978018800,10141147,376395370.0000,2,2.870595,1,-1.478000,0
2010-01-22,sh.600362,31.0435259200,31.0435259200,30.1061398000,30.7395088000,31.5248863600,10653239,385383259.0000,2,3.015550,1,-2.491300,0
2010-01-25,sh.600362,30.5706104000,31.2462040000,30.2412585200,30.9084072000,30.7395088000,5538386,202622007.0000,2,1.567718,1,0.549500,0
2010-01-26,sh.600362,31.0350810000,31.2377590800,29.9456863200,30.1145847200,30.9084072000,5206523,187190615.0000,2,1.473780,1,-2.568300,0
2010-01-27,sh.600362,30.0976948800,30.2328136000,28.8985162400,29.0251900400,30.1145847200,7512311,261863446.0000,2,2.126466,1,-3.617500,0
2010-01-28,sh.600362,28.4593804000,28.8562916400,27.8682360000,28.7549526000,29.0251900400,7143973,240765841.0000,2,2.022203,1,-0.931000,0
2010-01-29,sh.600362,28.4087108800,29.3629868400,28.0455793200,28.7887322800,28.7549526000,5505831,187808515.0000,2,1.558503,1,0.117500,0
2010-02-01,sh.600362,28.7127280000,28.7127280000,27.7415622000,27.7500071200,28.7887322800,6584749,217557254.0000,2,1.863906,1,-3.608100,0
2010-02-02,sh.600362,28.2482574000,29.4727708000,28.0540242400,28.3918210400,27.7500071200,8318954,283212911.0000,2,2.354797,1,2.312800,0
2010-02-03,sh.600362,29.1349740000,30.2328136000,28.2904820000,30.0976948800,28.3918210400,9683373,336498752.0000,2,2.741016,1,6.008300,0
2010-02-04,sh.600362,29.4474360400,29.5572200000,28.9660756000,29.2532028800,30.0976948800,7853123,272650113.0000,2,2.222937,1,-2.805800,0
2010-02-05,sh.600362,28.1891429600,28.5184948400,27.8766809200,28.2229226400,29.2532028800,6920694,230431324.0000,2,1.959000,1,-3.521900,0
2010-02-08,sh.600362,28.1638082000,28.6620584800,28.1215836000,28.4256007200,28.2229226400,3674172,123661657.0000,2,1.040026,1,0.718100,0
2010-02-09,sh.600362,28.4171558000,28.9998552800,28.1553632800,28.9914103600,28.4256007200,4361989,148787943.0000,2,1.234723,1,1.990500,0
2010-02-10,sh.600362,29.4305462000,29.6416692000,28.9660756000,29.3207622400,28.9914103600,5073595,175847486.0000,2,1.436153,1,1.136000,0
2010-02-11,sh.600362,29.3292071600,29.6923387200,29.2194232000,29.3545419200,29.3207622400,4747123,165654579.0000,2,1.343740,1,0.115200,0
2010-02-12,sh.600362,29.8274574400,30.6128350000,29.8274574400,30.3172628000,29.3545419200,8245446,295207356.0000,2,2.333990,1,3.279600,0
2010-02-22,sh.600362,31.1533098800,31.2630938400,30.2750382000,30.3257077200,30.3172628000,7164839,260490229.0000,2,2.028109,1,0.027900,0
2010-02-23,sh.600362,29.8105676000,29.8105676000,28.9745205200,29.4221012800,30.3257077200,5900988,204735942.0000,2,1.670358,1,-2.979700,0
2010-02-24,sh.600362,29.0336349600,29.8950168000,28.5522745200,29.8527922000,29.4221012800,6286327,217402964.0000,2,1.779434,1,1.463800,0
2010-02-25,sh.600362,29.8950168000,30.2243686800,29.5741098400,30.1230296400,29.8527922000,8695428,307580208.0000,2,2.461364,1,0.905200,0
2010-02-26,sh.600362,29.8950168000,29.8950168000,29.5572200000,29.5909996800,30.1230296400,4841131,170314762.0000,2,1.370351,1,-1.766200,0
2010-03-01,sh.600362,32.5382767600,32.5467216800,31.3728778000,32.5467216800,29.5909996800,41927642,1594343416.0000,2,11.868212,1,9.988600,0
2010-03-02,sh.600362,32.5044970800,32.5044970800,30.9590767200,31.0435259200,32.5467216800,22096771,826042260.0000,2,6.254803,1,-4.618600,0
2010-03-03,sh.600362,31.0773056000,31.4066574800,30.5706104000,30.9675216400,31.0435259200,9336240,341536892.0000,2,2.642755,1,-0.244800,0
2010-03-04,sh.600362,31.2462040000,31.2462040000,30.0639152000,30.0808050400,30.9675216400,8281556,299193114.0000,2,2.344211,1,-2.863400,0
2010-03-05,sh.600362,29.9879109200,30.7395088000,29.8950168000,30.3257077200,30.0808050400,6724617,241638024.0000,2,1.903498,1,0.814100,0
2010-03-08,sh.600362,30.4608264400,30.7395088000,30.1990339200,30.3594874000,30.3257077200,4570519,164741427.0000,2,1.293750,1,0.111400,0
2010-03-09,sh.600362,30.1483644000,30.8070681600,29.6078895200,30.3510424800,30.3594874000,7256895,259350751.0000,2,2.054167,1,-0.027800,0
2010-03-10,sh.600362,30.4017120000,30.5706104000,30.0385804400,30.2328136000,30.3510424800,3785931,135624285.0000,2,1.071661,1,-0.389500,0
2010-03-11,sh.600362,30.0216906000,30.3088178800,29.7092285600,29.7767879200,30.2328136000,4480409,158646587.0000,2,1.268243,1,-1.508400,0
2010-03-12,sh.600362,29.8021226800,29.9625761600,29.3883216000,29.4474360400,29.7767879200,4741381,166383706.0000,2,1.342115,1,-1.106100,0
2010-03-15,sh.600362,29.4981055600,29.5149954000,28.5438296000,28.6536135600,29.4474360400,5660630,193068624.0000,2,1.602321,1,-2.695700,0
2010-03-16,sh.600362,28.5944991200,28.8647365600,28.3749312000,28.7465076800,28.6536135600,4375073,148357509.0000,2,1.238426,1,0.324200,0
2010-03-17,sh.600362,28.9745205200,29.6416692000,28.9660756000,29.5234403200,28.7465076800,6191792,214783105.0000,2,1.752674,1,2.702700,0
2010-03-18,sh.600362,29.5572200000,29.6923387200,29.2616478000,29.4896606400,29.5234403200,5646377,196831038.0000,2,1.598287,1,-0.114400,0
2010-03-19,sh.600362,29.4474360400,30.5368307200,29.3123173200,30.1314745600,29.4896606400,8259836,293785729.0000,2,2.338063,1,2.176400,0
2010-03-22,sh.600362,29.8105676000,29.8865718800,29.5825547600,29.7852328400,30.1314745600,4652860,163628584.0000,2,1.317058,1,-1.149100,0
2010-03-23,sh.600362,29.7430082400,30.1061398000,29.4558809600,29.6163344400,29.7852328400,4827048,170047921.0000,2,1.366364,1,-0.567100,0
2010-03-24,sh.600362,29.6670039600,29.8105676000,29.0758595600,29.2869825600,29.6163344400,4171914,145445040.0000,2,1.180919,1,-1.112100,0
2010-03-25,sh.600362,29.1349740000,29.1349740000,28.6282788000,28.7127280000,29.2869825600,5951915,202736363.0000,2,1.684774,1,-1.960800,0
2010-03-26,sh.600362,28.7465076800,29.0927494000,28.6198338800,28.9745205200,28.7127280000,5668594,193657205.0000,2,1.604576,1,0.911800,0
2010-03-29,sh.600362,29.3883216000,30.2243686800,29.3883216000,29.9541312400,28.9745205200,13287616,469871823.0000,2,3.761247,1,3.380900,0
2010-03-30,sh.600362,30.4946061200,30.7817334000,30.3172628000,30.3848221600,29.9541312400,15708580,567732809.0000,2,4.446536,1,1.437800,0
2010-03-31,sh.600362,30.4017120000,30.5706104000,29.9541312400,30.1061398000,30.3848221600,7664888,274380853.0000,2,2.169655,1,-0.917200,0
2010-04-01,sh.600362,30.2243686800,30.9084072000,30.2243686800,30.8999622800,30.1061398000,11811703,429362803.0000,2,3.343469,1,2.636700,0
