date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600332,10.3848894500,10.4487123000,10.1843033500,10.2207735500,10.3666543500,5685191,63934244.0000,2,0.961961,1,-1.407200,0
2010-01-05,sh.600332,10.2207735500,10.3210666000,9.9654821500,10.2481262000,10.2207735500,6742176,75205835.0000,2,1.140808,1,0.267600,0
2010-01-06,sh.600332,10.2298911000,10.3210666000,10.0748927500,10.2207735500,10.2481262000,6082547,68395695.0000,2,1.029196,1,-0.266900,0
2010-01-07,sh.600332,10.1843033500,10.2025384500,9.7740136000,9.8013662500,10.2207735500,7253133,79285688.0000,2,1.227264,1,-4.103500,0
2010-01-08,sh.600332,9.7557785000,9.9837172500,9.6919556500,9.9290119500,9.8013662500,5083651,54917927.0000,2,0.860178,1,1.302300,0
2010-01-11,sh.600332,9.9381295000,10.1204805000,9.7375434000,9.9381295000,9.9290119500,4927940,53573373.0000,2,0.833831,1,0.091800,0
2010-01-12,sh.600332,9.9290119500,10.2572437500,9.9290119500,10.2298911000,9.9381295000,7817674,87083488.0000,2,1.322787,1,2.935800,0
2010-01-13,sh.600332,10.1204805000,10.3940070000,10.0475401000,10.3028315000,10.2298911000,11624351,130618933.0000,2,1.966895,1,0.713000,0
2010-01-14,sh.600332,10.3666543500,10.8498845000,10.3028315000,10.8225318500,10.3028315000,21543678,251528808.0000,2,3.645292,1,5.044200,0
2010-01-15,sh.600332,10.8863547000,11.1234110000,10.6492984000,10.7404739000,10.8225318500,15477583,184887821.0000,2,2.618880,1,-0.758200,0
2010-01-18,sh.600332,10.8407669500,10.9410600000,10.6675335000,10.8772371500,10.7404739000,9294486,110404722.0000,2,1.572671,1,1.273300,0
2010-01-19,sh.600332,10.8498845000,10.8681196000,10.5398878000,10.6219457500,10.8772371500,7885221,92303271.0000,2,1.334217,1,-2.347000,0
2010-01-20,sh.600332,10.6037106500,10.7131212500,10.0475401000,10.1295980500,10.6219457500,6822893,77690748.0000,2,1.154466,1,-4.635200,0
2010-01-21,sh.600332,10.1478331500,10.2298911000,10.0293050000,10.1478331500,10.1295980500,4192083,46558010.0000,2,0.709320,1,0.180000,0
2010-01-22,sh.600332,10.1843033500,11.1598812000,10.1022454000,11.1598812000,10.1478331500,37511919,451814443.0000,2,6.347194,1,9.973000,0
2010-01-25,sh.600332,11.1963514000,11.4425252500,10.6584159500,10.6766510500,11.1598812000,24485276,297707490.0000,2,4.143025,1,-4.330100,0
2010-01-26,sh.600332,10.4851825000,10.6584159500,9.6098977000,9.6098977000,10.6766510500,21545384,232927385.0000,2,3.645581,1,-9.991500,0
2010-01-27,sh.600332,9.4366642500,9.5734275000,8.9534341000,9.2360781500,9.6098977000,8439710,86179943.0000,2,1.428039,1,-3.889900,0
2010-01-28,sh.600332,9.1175500000,9.5096046500,9.0628447000,9.4548993500,9.2360781500,8060210,82274317.0000,2,1.363826,1,2.369200,0
2010-01-29,sh.600332,9.2999010000,10.2207735500,9.2816659000,10.0019523500,9.4548993500,17826359,195014858.0000,2,3.016304,1,5.785900,0
2010-02-01,sh.600332,10.0019523500,10.6675335000,9.7557785000,10.5490053500,10.0019523500,15391474,173405628.0000,2,2.604310,1,5.469500,0
2010-02-02,sh.600332,10.5034176000,10.7313563500,10.3301841500,10.4395947500,10.5490053500,9803717,112814096.0000,2,1.658835,1,-1.037200,0
2010-02-03,sh.600332,10.3940070000,11.1689987500,10.3301841500,11.1051759000,10.4395947500,18097580,216350592.0000,2,3.062196,1,6.375500,0
2010-02-04,sh.600332,11.0778232500,11.4698779000,10.8225318500,11.1872338500,11.1051759000,18159579,224143669.0000,2,3.072687,1,0.738900,0
2010-02-05,sh.600332,10.9866477500,11.2692918000,10.6219457500,11.2328216000,11.1872338500,13304283,160377923.0000,2,2.251148,1,0.407500,0
2010-02-08,sh.600332,11.1781163000,11.2054689500,10.8042967500,11.0504706000,11.2328216000,8618285,103836741.0000,2,1.458255,1,-1.623400,0
2010-02-09,sh.600332,11.0140004000,11.1872338500,10.6948861500,10.7222388000,11.0504706000,6317749,75390389.0000,2,1.068993,1,-2.970300,0
2010-02-10,sh.600332,10.7404739000,10.8954722500,10.4943000500,10.8042967500,10.7222388000,5509283,64510472.0000,2,0.932197,1,0.765300,0
2010-02-11,sh.600332,10.8134143000,10.8407669500,10.5398878000,10.5945931000,10.8042967500,5017478,58562729.0000,2,0.848981,1,-1.940900,0
2010-02-12,sh.600332,10.5945931000,10.8042967500,10.5398878000,10.6492984000,10.5945931000,3886492,45424004.0000,2,0.657613,1,0.516400,0
2010-02-22,sh.600332,10.6584159500,10.6584159500,10.3028315000,10.4669474000,10.6492984000,4482713,51592165.0000,2,0.758496,1,-1.712300,0
2010-02-23,sh.600332,10.3940070000,11.1234110000,10.3940070000,11.0778232500,10.4669474000,8959809,106171446.0000,2,1.516042,1,5.836200,0
2010-02-24,sh.600332,11.0778232500,11.4060550500,10.9501775500,11.3422322000,11.0778232500,14683151,180891421.0000,2,2.484459,1,2.386800,0
2010-02-25,sh.600332,11.2875269000,11.4698779000,11.1689987500,11.3331146500,11.3422322000,11191091,138812401.0000,2,1.893586,1,-0.080400,0
2010-02-26,sh.600332,11.2966444500,11.6248762500,11.2145865000,11.3422322000,11.3331146500,9314261,117114662.0000,2,1.576017,1,0.080500,0
2010-03-01,sh.600332,11.3422322000,11.5610534000,11.3239971000,11.4607603500,11.3422322000,9583816,120573559.0000,2,1.621627,1,1.045000,0
2010-03-02,sh.600332,11.4881130000,11.6248762500,11.0869408000,11.2966444500,11.4607603500,12113555,149736317.0000,2,2.049671,1,-1.432000,0
2010-03-03,sh.600332,11.1963514000,11.4425252500,11.1234110000,11.3969375000,11.2966444500,8404200,103943892.0000,2,1.422030,1,0.887800,0
2010-03-04,sh.600332,11.3513497500,11.4425252500,10.7951792000,10.8590020500,11.3969375000,10882983,132135453.0000,2,1.841452,1,-4.720000,0
2010-03-05,sh.600332,10.8498845000,10.9866477500,10.7131212500,10.8407669500,10.8590020500,4419557,52507777.0000,2,0.747810,1,-0.167900,0
2010-03-08,sh.600332,10.8407669500,10.9957653000,10.8407669500,10.9319424500,10.8407669500,3130137,37473873.0000,2,0.529634,1,0.841000,0
2010-03-09,sh.600332,10.9410600000,11.1051759000,10.8863547000,11.0960583500,10.9319424500,4280121,51626123.0000,2,0.724217,1,1.501300,0
2010-03-10,sh.600332,11.0413530500,11.1142934500,10.7678265500,10.8042967500,11.0960583500,4074896,48647376.0000,2,0.689492,1,-2.629400,0
2010-03-11,sh.600332,10.7860616500,10.8681196000,10.4122421000,10.5763580000,10.8042967500,4992210,57976102.0000,2,0.844706,1,-2.109700,0
2010-03-12,sh.600332,10.5763580000,10.6492984000,10.3940070000,10.4122421000,10.5763580000,3082073,35557959.0000,2,0.521501,1,-1.551700,0
2010-03-15,sh.600332,10.3484192500,10.4395947500,10.1934209000,10.3757719000,10.4122421000,2638648,29783564.0000,2,0.446472,1,-0.350300,0
2010-03-16,sh.600332,10.3757719000,10.5034176000,10.1934209000,10.4851825000,10.3757719000,2162805,24553655.0000,2,0.365957,1,1.054500,0
2010-03-17,sh.600332,10.4851825000,10.7222388000,10.4760649500,10.7040037000,10.4851825000,3236453,37688302.0000,2,0.547623,1,2.087000,0
2010-03-18,sh.600332,10.7040037000,10.7769441000,10.5763580000,10.6037106500,10.7040037000,2907452,34016769.0000,2,0.491955,1,-0.937000,0
2010-03-19,sh.600332,10.6037106500,10.7587090000,10.5763580000,10.6675335000,10.6037106500,2521162,29480567.0000,2,0.426593,1,0.601900,0
2010-03-22,sh.600332,10.6492984000,10.8772371500,10.6219457500,10.8681196000,10.6675335000,3637964,42946205.0000,2,0.615561,1,1.880300,0
2010-03-23,sh.600332,10.8681196000,11.5428183000,10.8316494000,11.4789954500,10.8681196000,17144458,211664642.0000,2,2.900924,1,5.620800,0
2010-03-24,sh.600332,11.4425252500,11.5337007500,11.1689987500,11.2237040500,11.4789954500,11639123,144062597.0000,2,1.969395,1,-2.224000,0
2010-03-25,sh.600332,11.0322355000,11.1689987500,10.7951792000,10.8772371500,11.2237040500,5627927,67648891.0000,2,0.952272,1,-3.086900,0
2010-03-26,sh.600332,10.8954722500,11.2601742500,10.8954722500,11.0322355000,10.8772371500,5501044,67017662.0000,2,0.930803,1,1.425000,0
2010-03-29,sh.600332,11.0687057000,11.2237040500,10.9045898000,11.0687057000,11.0322355000,4110711,49756878.0000,2,0.695552,1,0.330600,0
2010-03-30,sh.600332,11.1234110000,11.1325285500,10.8954722500,11.0048828500,11.0687057000,3593503,43269195.0000,2,0.608038,1,-0.576600,0
2010-03-31,sh.600332,11.0140004000,11.1051759000,10.8498845000,11.0504706000,11.0048828500,3651063,43848167.0000,2,0.617777,1,0.414300,0
2010-04-01,sh.600332,11.0778232500,11.2237040500,11.0778232500,11.1963514000,11.0504706000,5790166,70864269.0000,2,0.979724,1,1.320100,0
