date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600089,14.0176800000,14.3272371000,13.8190962000,14.0994498000,13.9008660000,33823813,814629189.0000,2,1.881844,1,1.428600,0
2010-01-05,sh.600089,14.1344940000,14.2629894000,14.0352021000,14.1169719000,14.0994498000,24339777,589461263.0000,2,1.354184,1,0.124300,0
2010-01-06,sh.600089,14.1228126000,14.6601570000,14.0877684000,14.3622813000,14.1169719000,40542415,1002193470.0000,2,2.255645,1,1.737700,0
2010-01-07,sh.600089,14.3681220000,14.8937850000,14.3681220000,14.6075907000,14.3622813000,67410567,1690828831.0000,2,3.750499,1,1.708000,0
2010-01-08,sh.600089,14.6601570000,14.7127233000,14.2980336000,14.5024581000,14.6075907000,30171493,745628139.0000,2,1.678641,1,-0.719700,0
2010-01-11,sh.600089,14.6017500000,14.8704222000,14.3973255000,14.4674139000,14.5024581000,26771590,671082222.0000,2,1.489482,1,-0.241600,0
2010-01-12,sh.600089,14.4090069000,14.6601570000,14.2396266000,14.6251128000,14.4674139000,23174531,575127458.0000,2,1.289354,1,1.090000,0
2010-01-13,sh.600089,14.2805115000,14.4674139000,14.0001579000,14.0176800000,14.6251128000,31953685,777830986.0000,2,1.777797,1,-4.153400,0
2010-01-14,sh.600089,14.0994498000,14.4849360000,13.9008660000,14.4615732000,14.0176800000,26351716,640961707.0000,2,1.466122,1,3.166700,0
2010-01-15,sh.600089,14.5316616000,14.7477675000,14.3155557000,14.4265290000,14.4615732000,36602618,911518845.0000,2,2.036448,1,-0.242300,0
2010-01-18,sh.600089,14.4907767000,14.7010419000,14.2221045000,14.3330778000,14.4265290000,30496492,750854566.0000,2,1.696723,1,-0.647800,0
2010-01-19,sh.600089,14.3564406000,14.3798034000,14.1520161000,14.2513080000,14.3330778000,20743216,505085627.0000,2,1.154083,1,-0.570500,0
2010-01-20,sh.600089,14.2863522000,14.6017500000,13.9709544000,14.1344940000,14.2513080000,42839188,1048226415.0000,2,2.383430,1,-0.819700,0
2010-01-21,sh.600089,14.0585649000,14.5842279000,14.0585649000,14.3272371000,14.1344940000,29281548,719981221.0000,2,1.629128,1,1.363600,0
2010-01-22,sh.600089,14.1344940000,14.2337859000,13.4920170000,13.6789194000,14.3272371000,29147142,690942164.0000,2,1.621650,1,-4.525100,0
2010-01-25,sh.600089,13.6555566000,13.7782113000,13.3284774000,13.3576809000,13.6789194000,18724176,433643800.0000,2,1.041751,1,-2.348400,0
2010-01-26,sh.600089,13.3868844000,13.5270612000,12.5867085000,12.7327260000,13.3576809000,25000627,557231027.0000,2,1.390952,1,-4.678600,0
2010-01-27,sh.600089,12.7327260000,12.8320179000,12.2421072000,12.2946735000,12.7327260000,37897474,803334636.0000,2,2.108489,1,-3.440400,0
2010-01-28,sh.600089,12.3238770000,12.5867085000,12.3005142000,12.4698945000,12.2946735000,26085110,556377121.0000,2,1.451289,1,1.425200,0
