,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
92,2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,
93,2001-06-01,,,,,,,,,,,,,,,,,,,,,,,,
94,2001-06-04,,,,,,,,,,,,,,,,,,,,,,,,
95,2001-06-05,,,,,,,,,,,,,,,,,,,,,,,,
96,2001-06-06,,,,,,,,,,,,,,,,,,,,,,,,
97,2001-06-07,,,,,,,,,,,,,,,,,,,,,,,,
98,2001-06-08,,,,,,,,,,,,,,,,,,,,,,,,
99,2001-06-11,,,,,,,,,,,,,,,,,,,,,,,,
100,2001-06-12,,,,,,,,,,,,,,,,,,,,,,,,
101,2001-06-13,,,,,,,,,,,,,,,,,,,,,,,,
102,2001-06-14,,,,,,,,,,,,,,,,,,,,,,,,
103,2001-06-15,,,,,,,,,,,,,,,,,,,,,,,,
104,2001-06-18,,,,,,,,,,,,,,,,,,,,,,,,
105,2001-06-19,,,,,,,,,,,,,,,,,,,,,,,,
106,2001-06-20,,,,,,,,,,,,,,,,,,,,,,,,
107,2001-06-21,,,,,,,,,,,,,,,,,,,,,,,,
108,2001-06-22,,,,,,,,,,,,,,,,,,,,,,,,
109,2001-06-25,,,,,,,,,,,,,,,,,,,,,,,,
110,2001-06-26,,,,,,,,,,,,,,,,,,,,,,,,
111,2001-06-27,,,,,,,,,,,,,,,,,,,,,,,,
112,2001-06-28,,,,,,,,,,,,,,,,,,,,,,,,
113,2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,
114,2001-07-02,,,,,,,,,,,,,,,,,,,,,,,,
115,2001-07-03,,,,,,,,,,,,,,,,,,,,,,,,
116,2001-07-04,,,,,,,,,,,,,,,,,,,,,,,,
117,2001-07-05,,,,,,,,,,,,,,,,,,,,,,,,
118,2001-07-06,,,,,,,,,,,,,,,,,,,,,,,,
119,2001-07-09,,,,,,,,,,,,,,,,,,,,,,,,
120,2001-07-10,,,,,,,,,,,,,,,,,,,,,,,,
