,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
3731,2016-05-31,5711.3152,5721.8261,5947.3224,5947.4279,5721.8261,225.60179999999946,0.0,236.11269999999968,-10.51090000000022,0.041322741213792646,93.04721551290744,62.28682105045041,5771.559660000008,5744.12801999999,5801.298615000012,5950.338976666667,6219.008114166664,7081.148828800009,0.03554551032388309,0.027110801200399104,-0.03569241225110453,0.05794849096551724,-0.21440904154948548,-0.40764252113277866
3732,2016-06-01,5947.3224,5957.1761,5973.7799,6013.9035,5949.6366,56.72740000000067,7.539499999999862,66.58110000000033,-2.3141999999998006,0.004448640618507582,102.11097435647807,70.50301485364324,5823.278960000009,5778.38673999999,5791.498480000011,5954.026171666667,6206.192322499997,7063.549628400009,0.04524727937864603,0.06083741371521545,-0.03176816959482476,0.0384580349974295,-0.20473396685471568,-0.42413516837967213
3733,2016-06-02,5973.7799,5961.7154,6013.8942,6014.6099,5955.3472,52.894500000000335,6.368199999999888,40.82999999999993,18.432700000000295,0.00671506159776647,101.13954677055975,69.03586523873346,5877.180280000009,5813.10284999999,5782.002360000011,5958.185653333333,6192.956210833331,7045.615845200009,0.04691650681788939,0.061263005310767005,-0.030613799898597915,0.04329542262300823,-0.2089299983599544,-0.42710303753141277
3734,2016-06-03,6013.8942,6016.9487,6032.603,6062.1379,5992.3207,45.1891999999998,24.6279999999997,48.24369999999999,21.573499999999513,0.0031109293542277427,103.22703171033835,70.25835677380428,5935.782940000008,5843.072969999991,5785.558060000011,5965.111743333333,6181.526719166664,7030.272561200008,0.051051262427347366,0.05227739990243685,0.011928898971381274,0.07398301909177185,-0.1852394240953239,-0.38869641190933835
3735,2016-06-06,6032.603,6051.9476,6051.8595,6067.4652,6008.9257,15.51759999999922,43.02190000000064,34.862199999999575,23.677300000000287,0.0031920714822439855,109.27448486763605,75.9149078081053,6003.891800000008,5867.311309999991,5800.968670000011,5973.943601666668,6170.506596666664,7014.612619200008,0.05962624860907684,0.04172207542088002,0.05366140779570494,0.09596459437865024,-0.1793281161148036,-0.3928008813220232
3736,2016-06-07,6051.8595,6048.3198,6045.3571,6052.0491,6010.3535,3.7292999999999665,37.96630000000005,0.18960000000060973,41.5059999999994,-0.0010744466225627303,103.8647531989902,74.13089928750442,6023.498740000008,5897.529199999991,5816.291720000011,5982.883190000001,6159.632824166665,6996.840807600008,0.01648383817228405,0.0526152749360973,0.053400687982485096,0.0973637814523185,-0.1775259122535522,-0.42360999055138526
3737,2016-06-08,6045.3571,6037.4133,6023.8776,6058.1769,5972.7439,20.763600000000224,64.66939999999977,12.819800000000214,72.61319999999978,-0.0035530572710089636,91.33641603974685,62.66045526752709,6033.5182800000075,5928.398619999991,5831.315080000012,5988.437976666668,6149.075956666666,6977.390718000008,0.008386264783541764,0.05401299982779206,0.05249793025501015,0.05856812326538208,-0.1737588715226135,-0.4466602733686067
3738,2016-06-13,6023.8776,5943.7334,5746.4438,5992.3346,5745.9998,48.60120000000006,197.73360000000048,-31.542999999999665,277.8778000000002,-0.046055683468734454,80.03465104392122,51.25669871453156,5980.028200000008,5928.604239999991,5832.314495000011,5990.215353333335,6134.954404166666,6956.4565332000075,-0.04447208266483971,0.0003579493834990899,0.003490518698695988,0.01890892891756546,-0.22773544485460417,-0.47664398601455915
3739,2016-06-14,5746.4438,5723.9941,5762.7612,5778.8537,5700.5226,54.85959999999977,23.47149999999965,32.40989999999965,45.92119999999977,0.002839564880108947,80.64195718252746,50.80557287847549,5926.059840000008,5930.92138999999,5834.737020000011,5993.547978333335,6120.4925699999985,6935.645938000009,-0.04473057484472298,0.00403713526770022,0.00847880042644511,0.03594545318936926,-0.2314454706503296,-0.4744600338701426
3740,2016-06-15,5762.7612,5701.3881,5952.846,5972.8525,5692.8145,271.46439999999984,8.573599999999715,210.09130000000005,69.94669999999951,0.032985021138824955,110.99406256547893,65.48767719485555,5906.257140000009,5955.0744699999905,5841.752205000012,5996.995828333336,6107.354596666665,6914.879242000008,-0.016360839176785213,0.04228987396808348,0.024138095304699902,0.03600276715439921,-0.20938669930103893,-0.4658499423932122
