,日期,收盘价,基差,指数,贴水率
1668,2016-11-17,6635.6,-0.8689999999996871,6636.469,-0.00013094312653305352
1669,2016-11-18,6618.2,15.873499999999694,6602.3265,0.0024042282671115542
1670,2016-11-21,6523.2,-88.33989999999994,6611.5399,-0.013361471205823011
1671,2016-11-22,6593.6,-67.64599999999973,6661.246,-0.010155157158285362
1672,2016-11-23,6561.8,-69.3733000000002,6631.1733,-0.010461693106407006
1673,2016-11-24,6547.6,-75.44889999999941,6623.0489,-0.011391868177207541
1674,2016-11-25,6564.8,-88.01769999999942,6652.8177,-0.01323013856219139
1675,2016-11-28,6596.4,-74.40350000000035,6670.8035,-0.01115360390993384
1676,2016-11-29,6556.8,-63.99489999999969,6620.7949,-0.009665742704097311
1677,2016-11-30,6531.2,-54.3775999999998,6585.5776,-0.008257073760697894
1678,2016-12-01,6572.0,-52.46569999999974,6624.4657,-0.00791998968309244
1679,2016-12-02,6433.0,-87.97450000000026,6520.9745,-0.013491005063737063
1680,2016-12-05,6430.0,-56.01730000000043,6486.0173,-0.008636625128952467
1681,2016-12-06,6431.4,-59.489700000000084,6490.8897,-0.00916510721172786
1682,2016-12-07,6488.6,-69.42469999999958,6558.0247,-0.010586221183338875
1683,2016-12-08,6488.8,-38.63379999999961,6527.4338,-0.0059186812434619575
1684,2016-12-09,6456.0,-57.915500000000065,6513.9155,-0.008891042568789857
1685,2016-12-12,6174.6,-74.47839999999997,6249.0784,-0.011918301425054926
1686,2016-12-13,6231.0,-47.179299999999785,6278.1793,-0.007514806083986768
1687,2016-12-14,6224.0,-15.498899999999594,6239.4989,-0.0024839975530726666
1688,2016-12-15,6262.8,-17.59810000000016,6280.3981,-0.002802067595046269
1689,2016-12-16,6313.0,-5.52390000000014,6318.5239,-0.000874238997497523
1690,2016-12-19,6198.0,-122.73239999999987,6320.7324,-0.019417433334149675
1691,2016-12-20,6183.8,-116.83829999999944,6300.6383,-0.01854388308562316
1692,2016-12-21,6256.6,-91.00579999999991,6347.6058,-0.014337027671126002
1693,2016-12-22,6235.0,-106.78790000000026,6341.7879,-0.016838768764247107
1694,2016-12-23,6209.8,-72.19660000000022,6281.9966,-0.011492620037393878
1695,2016-12-26,6219.8,-74.95460000000003,6294.7546,-0.011907469752673127
1696,2016-12-27,6216.0,-72.85940000000028,6288.8594,-0.011585471285937841
1697,2016-12-28,6218.0,-52.23949999999968,6270.2395,-0.008331340453582305
1698,2016-12-29,6215.8,-36.80760000000009,6252.6076,-0.005886759949560899
1699,2016-12-30,6210.6,-53.02559999999994,6263.6256,-0.008465640091898203
1700,2017-01-03,6275.8,-44.96259999999984,6320.7626,-0.007113477098475402
1701,2017-01-04,6367.0,-27.66939999999977,6394.6694,-0.004326947691775867
1702,2017-01-05,6359.0,-40.28409999999985,6399.2841,-0.006295094790368793
1703,2017-01-06,6339.0,-32.616799999999785,6371.6168,-0.005119077468688918
1704,2017-01-09,6373.8,-41.617599999999584,6415.4176,-0.006487122521844811
1705,2017-01-10,6344.6,-49.32829999999922,6393.9283,-0.007714865992475896
1706,2017-01-11,6297.6,-34.36380000000008,6331.9638,-0.0054270367117386364
1707,2017-01-12,6238.4,-34.45100000000002,6272.851,-0.00549208007650748
1708,2017-01-13,6178.4,-16.25750000000062,6194.6575,-0.002624438881407183
1709,2017-01-16,6011.4,-19.84140000000025,6031.2414,-0.003289770494014756
1710,2017-01-17,6065.0,-17.065700000000106,6082.0657,-0.002805905237097341
1711,2017-01-18,6073.8,5.207000000000335,6068.593,0.0008580242570230587
1712,2017-01-19,6047.0,3.324999999999818,6043.675,0.0005501619461668303
1713,2017-01-20,6118.4,-3.598300000000563,6121.9983,-0.0005877655993469589
1714,2017-01-23,6114.2,-57.967099999999846,6172.1671,-0.009391693235265754
1715,2017-01-24,6123.0,-42.26419999999962,6165.2642,-0.0068552131147923264
1716,2017-01-25,6155.0,-24.568100000000413,6179.5681,-0.003975698560551572
1717,2017-01-26,6188.8,-34.90610000000015,6223.7061,-0.00560857139446224
1718,2017-02-03,6165.0,-42.092099999999846,6207.0921,-0.006781291355415823
1719,2017-02-06,6199.6,-59.64709999999923,6259.2471,-0.00952943685511301
1720,2017-02-07,6187.4,-68.52700000000004,6255.927,-0.010953932167047353
1721,2017-02-08,6246.6,-44.997699999999895,6291.5977,-0.007152030715504886
1722,2017-02-09,6284.8,-46.3770999999997,6331.1771,-0.007325193920100529
1723,2017-02-10,6294.2,-42.90810000000056,6337.1081,-0.006770927578148865
1724,2017-02-13,6330.2,-39.45260000000053,6369.6526,-0.006193838577633029
1725,2017-02-14,6332.0,-42.88519999999971,6374.8852,-0.006727211338644924
1726,2017-02-15,6289.6,-22.095899999999347,6311.6959,-0.0035007865318732083
1727,2017-02-16,6345.0,-14.336100000000442,6359.3361,-0.0022543390968123925
1728,2017-02-17,6313.4,6.237299999999777,6307.1627,0.00098892327607147
1729,2017-02-20,6313.8,-71.26249999999982,6385.0625,-0.011160814792337556
1730,2017-02-21,6341.0,-93.4382999999998,6434.4383,-0.014521593905096549
1731,2017-02-22,6389.6,-84.625,6474.225,-0.013071062559611381
1732,2017-02-23,6397.6,-76.39300000000003,6473.993,-0.011799981865905636
1733,2017-02-24,6410.6,-65.5654999999997,6476.1655,-0.010124123603697235
1734,2017-02-27,6348.0,-76.2548999999999,6424.2549,-0.011869843458421911
1735,2017-02-28,6376.4,-74.57009999999991,6450.9701,-0.011559517226719112
1736,2017-03-01,6397.8,-69.83849999999984,6467.6385,-0.01079814525811853
1737,2017-03-02,6390.0,-44.6261999999997,6434.6262,-0.006935321277869987
1738,2017-03-03,6393.0,-59.83899999999994,6452.839,-0.009273282658997063
1739,2017-03-06,6459.8,-57.52350000000024,6517.3235,-0.008826245927488522
1740,2017-03-07,6465.0,-58.1868000000004,6523.1868,-0.00891999597497352
1741,2017-03-08,6449.6,-47.48779999999988,6497.0878,-0.0073090900818671214
1742,2017-03-09,6390.8,-48.58219999999983,6439.3822,-0.007544543636499761
1743,2017-03-10,6410.4,-37.51650000000063,6447.9165,-0.005818391103544941
1744,2017-03-13,6484.6,-23.296399999999267,6507.8964,-0.003579712793215219
1745,2017-03-14,6470.0,-23.484599999999773,6493.4846,-0.0036166405938653913
1746,2017-03-15,6466.4,-19.661600000000362,6486.0616,-0.0030313618976422242
1747,2017-03-16,6539.0,-4.340699999999742,6543.3407,-0.0006633767365956877
1748,2017-03-17,6527.6,44.35370000000057,6483.2463,0.0068412794991300225
1749,2017-03-20,6427.0,-71.34159999999974,6498.3416,-0.01097843178942759
1750,2017-03-21,6445.0,-70.94580000000042,6515.9458,-0.010888027951368229
1751,2017-03-22,6428.8,-70.99279999999999,6499.7928,-0.01092231740064083
1752,2017-03-23,6450.0,-62.1873999999998,6512.1874,-0.009549387353318456
1753,2017-03-24,6527.8,-18.8149999999996,6546.615,-0.0028740043518672783
1754,2017-03-27,6480.6,-35.432599999999184,6516.0326,-0.005437756711039043
1755,2017-03-28,6467.2,-31.490200000000186,6498.6902,-0.004845622584070892
1756,2017-03-29,6443.6,-36.9429999999993,6480.543,-0.005700602557532494
1757,2017-03-30,6366.4,-9.343700000000354,6375.7437,-0.0014655074669956312
1758,2017-03-31,6380.2,-21.447900000000118,6401.6479,-0.003350371706635118
1759,2017-04-05,6538.6,-1.3665000000000873,6539.9665,-0.0002089460244177225
1760,2017-04-06,6536.0,-23.652600000000348,6559.6526,-0.0036057702202095805
1761,2017-04-07,6556.0,-22.725999999999658,6578.726,-0.003454468235947151
1762,2017-04-10,6546.0,-20.54410000000007,6566.5441,-0.003128601542476517
1763,2017-04-11,6602.2,-26.96610000000055,6629.1661,-0.004067796702212749
1764,2017-04-12,6555.8,-20.67609999999968,6576.4761,-0.0031439481700541237
1765,2017-04-13,6610.0,-5.704200000000128,6615.7042,-0.0008622211373960957
1766,2017-04-14,6518.8,-9.36239999999998,6528.1624,-0.0014341554983374769
1767,2017-04-17,6443.2,-13.398000000000138,6456.598,-0.0020750866013340367
1768,2017-04-18,6422.2,3.9885999999996784,6418.2114,0.0006214503934849634
1769,2017-04-19,6346.6,-4.046499999999469,6350.6465,-0.0006371792226192198
1770,2017-04-20,6347.8,0.026800000000548607,6347.7732,4.221952983535802e-06
1771,2017-04-21,6315.2,14.487199999999575,6300.7128,0.002299295406703758
1772,2017-04-24,6108.4,-30.10490000000027,6138.5049,-0.004904272374206343
1773,2017-04-25,6128.0,-32.461199999999735,6160.4612,-0.005269280812936495
1774,2017-04-26,6142.0,-34.39810000000034,6176.3981,-0.005569281552625363
1775,2017-04-27,6160.0,-32.30439999999999,6192.3044,-0.005216862401015038
1776,2017-04-28,6180.4,-31.462400000000343,6211.8624,-0.0050648900400627585
1777,2017-05-02,6176.0,-40.11499999999978,6216.115,-0.006453387686682081
1778,2017-05-03,6156.2,-41.277900000000045,6197.4779,-0.006660435207038019
1779,2017-05-04,6123.6,-52.705299999999625,6176.3053,-0.008533467411334025
1780,2017-05-05,6057.8,-31.882799999999406,6089.6828,-0.005235543631270812
1781,2017-05-08,5951.2,-24.339500000000044,5975.5395,-0.004073188705388031
1782,2017-05-09,5987.0,-25.0015999999996,6012.0016,-0.004158614994380507
1783,2017-05-10,5842.2,-43.64100000000053,5885.841,-0.007414573380422701
1784,2017-05-11,5827.2,-45.43910000000051,5872.6391,-0.007737424218695902
1785,2017-05-12,5827.2,-36.58320000000003,5863.7832,-0.00623883911669859
1786,2017-05-15,5876.8,-16.707499999999527,5893.5075,-0.00283489925142193
1787,2017-05-16,6009.8,-4.934400000000096,6014.7344,-0.0008203853523440862
1788,2017-05-17,6020.0,-7.650400000000445,6027.6504,-0.0012692176042592724
1789,2017-05-18,5960.2,-16.09979999999996,5976.2998,-0.002693941157369642
1790,2017-05-19,5964.0,-10.977200000000266,5974.9772,-0.0018371952950716308
1791,2017-05-22,5828.6,-60.21270000000004,5888.8127,-0.010224930400656152
1792,2017-05-23,5716.0,-48.8759,5764.8759,-0.008478222401977466
1793,2017-05-24,5759.0,-40.2498999999998,5799.2499,-0.00694053553374201
1794,2017-05-25,5810.6,-40.20059999999921,5850.8006,-0.006870957113117001
1795,2017-05-26,5814.6,-22.333799999999428,5836.9338,-0.003826289755076446
1796,2017-05-31,5772.6,-51.5041999999994,5824.1042,-0.008843282714618912
1797,2017-06-01,5667.0,-42.999399999999696,5709.9994,-0.007530543698480896
1798,2017-06-02,5753.2,-19.317399999999907,5772.5174,-0.0033464429228052058
1799,2017-06-05,5775.0,-40.802200000000084,5815.8022,-0.007015747543821226
1800,2017-06-06,5807.2,-34.323199999999815,5841.5232,-0.005875727755390891
1801,2017-06-07,5952.0,-3.0153000000000247,5955.0153,-0.0005063463061127693
1802,2017-06-08,5940.0,-18.97699999999986,5958.977,-0.0031846070223126993
1803,2017-06-09,5964.4,-4.8740999999999985,5969.2741,-0.0008165314439154334
