日期,收盘价,基差,指数,贴水率
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-02,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,3512.0,155.66800000000012,3356.332,0.04638039383469816
2010-04-19,3262.0,85.57700000000023,3176.423,0.026941311028159734
2010-04-20,3292.0,118.6260000000002,3173.374,0.03738166380640927
2010-04-21,3348.0,111.32099999999991,3236.679,0.03439358675976206
2010-04-22,3316.0,114.45899999999983,3201.541,0.0357512210526118
2010-04-23,3304.0,113.99699999999984,3190.003,0.03573570306987167
2010-04-26,3312.0,140.00300000000016,3171.997,0.04413717919657558
2010-04-27,3262.8,154.39100000000008,3108.409,0.04966881771349912
2010-04-28,3255.0,157.64699999999993,3097.353,0.05089733072077995
2010-04-29,3215.0,154.93600000000015,3060.064,0.05063162077655897
2010-04-30,3243.2,175.83500000000004,3067.365,0.05732444622664732
2010-05-04,3213.0,193.55099999999993,3019.449,0.06410143042654469
2010-05-05,3198.4,162.0060000000003,3036.394,0.053354735913718816
2010-05-06,3120.0,223.14399999999978,2896.856,0.07702971773536543
2010-05-07,3033.8,197.01099999999997,2836.789,0.06944859134747067
2010-05-10,3027.0,168.76699999999983,2858.233,0.05904592102883138
2010-05-11,2898.0,97.18299999999999,2800.817,0.03469808987877465
2010-05-12,2900.2,82.03999999999996,2818.16,0.02911119311891446
2010-05-13,2960.6,73.68899999999985,2886.911,0.025525206700171863
2010-05-14,2924.0,55.97699999999986,2868.023,0.01951762590467366
2010-05-17,2737.0,22.284999999999854,2714.715,0.008208964845296781
2010-05-18,2836.0,64.65200000000004,2771.348,0.023328719453493407
2010-05-19,2811.0,48.82600000000002,2762.174,0.017676656141141008
2010-05-20,2808.2,82.17799999999988,2726.022,0.03014575817803374
2010-05-21,2855.0,86.20899999999983,2768.791,0.031135972343163433
2010-05-24,2964.0,90.53099999999995,2873.469,0.03150582101285935
2010-05-25,2875.4,61.45699999999988,2813.943,0.021840172313369488
2010-05-26,2892.6,78.65599999999995,2813.944,0.02795222648354052
2010-05-27,2949.2,89.221,2859.979,0.031196382910503893
2010-05-28,2910.8,60.49800000000005,2850.302,0.021225119303147542
2010-05-31,2848.4,75.13599999999997,2773.264,0.027092985016933104
2010-06-01,2817.2,73.03800000000001,2744.162,0.026615775599253984
2010-06-02,2822.8,65.27300000000014,2757.527,0.02367084710321971
2010-06-03,2803.8,67.72400000000016,2736.076,0.02475223641448562
2010-06-04,2811.2,66.80899999999974,2744.391,0.02434383438802989
2010-06-07,2745.6,49.88499999999976,2695.715,0.01850529451370036
2010-06-08,2765.6,66.26400000000012,2699.336,0.024548259275614496
2010-06-09,2835.4,53.26700000000028,2782.133,0.01914610121083366
2010-06-10,2817.0,66.97699999999986,2750.023,0.024355069030331696
2010-06-11,2825.0,66.13400000000001,2758.866,0.023971443339401047
2010-06-17,2800.8,58.06700000000001,2742.733,0.021171218634843423
2010-06-18,2760.8,64.63400000000001,2696.166,0.023972559553083903
2010-06-21,2841.2,60.53699999999981,2780.663,0.02177070720184352
2010-06-22,2837.4,53.68000000000029,2783.72,0.019283548632764897
2010-06-23,2805.6,47.10500000000002,2758.495,0.017076340540765896
2010-06-24,2806.2,48.70199999999977,2757.498,0.01766166285524043
2010-06-25,2790.4,54.113000000000284,2736.287,0.01977606881149539
2010-06-28,2778.0,61.222999999999956,2716.777,0.022535158388045817
2010-06-29,2631.2,39.18100000000004,2592.019,0.015116015739082176
2010-06-30,2610.4,47.32999999999993,2563.07,0.018466136313093254
2010-07-01,2576.4,50.32900000000018,2526.071,0.019923826369092627
2010-07-02,2581.6,47.49499999999989,2534.105,0.018742317307293855
2010-07-05,2562.4,49.74900000000025,2512.651,0.01979940708041039
2010-07-06,2596.0,33.097999999999956,2562.902,0.012914266717962667
2010-07-07,2600.0,19.52300000000014,2580.477,0.007565655497026379
2010-07-08,2597.2,21.278999999999996,2575.921,0.008260734704208707
2010-07-09,2679.0,31.896000000000186,2647.104,0.012049394357003045
2010-07-12,2689.4,13.182000000000244,2676.218,0.004925607704604126
2010-07-13,2651.6,17.007000000000062,2634.593,0.006455266525038236
2010-07-14,2668.8,15.191000000000258,2653.609,0.005724656496115388
2010-07-15,2625.8,17.281000000000404,2608.519,0.006624831944870022
2010-07-16,2634.4,18.271999999999935,2616.128,0.006984367737358391
2010-07-19,2737.8,55.327999999999975,2682.472,0.02062575117279881
2010-07-20,2794.0,52.496999999999844,2741.503,0.019148985064032335
2010-07-21,2790.8,43.465000000000146,2747.335,0.015820786325657463
2010-07-22,2830.0,48.71399999999994,2781.286,0.017514919357448297
2010-07-23,2834.0,40.92399999999998,2793.076,0.014651946456165165
2010-07-26,2848.0,36.945000000000164,2811.055,0.013142752454149835
2010-07-27,2830.0,34.27599999999984,2795.724,0.012260151574332745
2010-07-28,2938.0,74.27599999999984,2863.724,0.025936857043485976
2010-07-29,2928.6,50.623999999999796,2877.976,0.01759013973709294
2010-07-30,2926.6,57.753999999999905,2868.846,0.020131439610212576
2010-08-02,2982.2,64.92499999999973,2917.275,0.022255358168153404
2010-08-03,2909.8,43.82900000000018,2865.971,0.015292897241458542
2010-08-04,2931.0,54.5659999999998,2876.434,0.018970016346629124
2010-08-05,2900.8,49.971000000000004,2850.829,0.017528585544766103
2010-08-06,2973.0,75.3409999999999,2897.659,0.026000643968113534
2010-08-09,2964.2,45.95899999999983,2918.241,0.01574887063816862
