日期,前收盘价,开盘价,收盘价,最高价,最低价,成交量,成交额,vwap,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
2018-10-24,3183.4257,3169.4571,3188.2018,3245.3971,3164.293,11090974400.0,120954387200.0,10.905659217823098,75.94000000000005,5.164099999999962,61.97140000000036,19.13269999999966,0.0015003020174146897,121.60863575771208,82.19498665296217,3164.247600000005,3146.174979999999,3249.77657000001,3311.2955900000047,3495.1056499999954,3781.0947144000056,0.02243424453033116,-0.02846052614979211,-0.02484532557475816,-0.1098649450735163,-0.15105663459836083,-0.1853211627133139
2018-10-25,3188.2018,3107.8402,3194.3084,3197.3212,3099.8887,10695181700.0,113291746400.0,10.59278370184211,89.48099999999977,7.951500000000124,9.119400000000041,88.31309999999985,0.0019153743655750954,133.11238320509926,76.1554345370966,3194.2309200000054,3153.1944299999986,3243.86787500001,3304.904860000005,3490.417582499995,3778.2196728000054,0.049243530349805775,0.022468611019591744,-0.03567533025006664,-0.10717449911707133,-0.14974357022382823,-0.18368202470654238
2018-10-26,3194.3084,3204.2845,3173.635,3218.1021,3151.9244,10129935400.0,106070366700.0,10.470981552360147,13.817599999999857,52.36010000000033,23.79370000000017,42.384000000000015,-0.006471948669702576,128.73296657508425,77.35091536181686,3201.9688200000055,3153.4853099999987,3237.0433350000103,3298.8613500000056,3485.5008233333283,3775.137562400005,0.012341362872177575,0.0009173923626708547,-0.04123432408520533,-0.102541124406065,-0.15676582875313372,-0.19535898443943456
2018-10-29,3173.635,3157.4879,3076.8889,3158.8114,3062.5803,9183978900.0,108479490200.0,11.811818317657503,1.3234999999999673,94.9076,-14.82360000000017,111.05470000000014,-0.030484318455020865,120.66365747381829,65.02841488905003,3163.2919600000055,3148.5290399999985,3220.36350000001,3291.455716666672,3479.533229999995,3771.7201200000054,-0.059133989172525436,-0.015852700230510552,-0.0978150149644379,-0.12618840325228686,-0.18879809678887172,-0.21732545848336515
2018-10-30,3076.8889,3061.93,3110.2605,3146.6276,3050.7709,11607010100.0,131767102700.0,11.352372537351371,84.69759999999997,11.159099999999853,69.73869999999988,26.117999999999938,0.010845890470728481,129.86993392963024,68.56528764744657,3148.6589200000058,3149.4577099999983,3206.88631000001,3284.7087350000056,3473.997083333328,3768.453754000005,-0.02298316558793878,0.0029947689335523275,-0.07975130394384078,-0.1151663601112396,-0.17600220802315358,-0.20795066888184222
2018-10-31,3110.2605,3116.6582,3153.8234,3168.9187,3106.0279,11120745500.0,117099697800.0,10.52984242827965,52.26050000000032,10.630299999999806,58.658200000000306,4.23259999999982,0.014006190156740983,137.59311940301663,77.12204679535971,3141.7832400000057,3153.015419999999,3193.71541500001,3278.6448450000053,3468.327380833328,3765.345855200005,-0.01078300627018014,0.011409329660713619,-0.07708495738945909,-0.10343061324231517,-0.17744679009846065,-0.19766334475433878
2018-11-01,3153.8234,3185.202,3177.0338,3217.8034,3173.0992,13265337900.0,145919304200.0,11.000044273278556,32.60139999999956,12.102800000000116,63.97999999999956,-19.27579999999989,0.007359448217677533,130.4290693470442,79.18044023500268,3138.3283200000055,3166.2796199999984,3182.38759500001,3274.138938333339,3462.480356666661,3762.2164092000053,-0.005407931181597769,0.04356929354493744,-0.06656394768089291,-0.0784229637961863,-0.18089749527203436,-0.19759620869378713
2018-11-02,3177.0338,3258.6093,3290.2455,3290.2455,3222.4354,15346610400.0,178340643400.0,11.620849083391079,31.636199999999917,36.17390000000023,113.21169999999984,-45.40159999999969,0.0356344021269146,120.76995387157659,88.05677046716052,3161.6504200000054,3181.809619999999,3174.95662500001,3272.793731666672,3457.635609166661,3759.469595200005,0.03674351335298476,0.04953834125665035,-0.04321757449674746,-0.023943461293301826,-0.15016205639444746,-0.17267093442737136
2018-11-05,3290.2455,3269.4695,3262.8351,3279.8781,3230.3632,10970668300.0,123630922600.0,11.269224373505121,10.408599999999751,39.106300000000374,-10.367400000000089,59.882300000000214,-0.008330806926109324,116.34772854639917,81.14744568251061,3198.8396600000056,3181.065809999999,3173.5534400000097,3271.919585000005,3452.3837641666614,3756.5466348000054,0.06043318626161631,-0.0022744582929646873,-0.008527670313046465,-0.01582030425810599,-0.16188344556520062,-0.18297892575054064
2018-11-06,3262.8351,3254.9778,3243.1504,3254.9778,3213.895,8386913800.0,91703898000.0,10.93416484142236,0.0,41.082800000000134,-7.857299999999668,48.9400999999998,-0.006033004855194757,103.2082942918034,68.18950130287944,3225.4176400000056,3187.038279999999,3171.2764300000094,3271.4175450000052,3447.1363649999944,3753.4313660000057,0.04272629254044813,0.018761141496093314,-0.013847517306735946,-0.009202532706714894,-0.1625908058180482,-0.19364084384966207
2018-11-07,3243.1504,3243.8775,3221.9101,3270.5003,3218.4219,9161552800.0,101814918900.0,11.113281899112124,26.622800000000097,25.45560000000023,27.34990000000016,24.728500000000167,-0.006549279984054968,102.27890707448621,73.26400560950844,3239.0349800000054,3190.409109999999,3168.2920450000092,3268.968221666672,3441.408171666661,3750.280119200005,0.02158862160766506,0.010572825095324978,-0.018188609219569774,-0.043622764253705815,-0.17583311029643123,-0.1964754013607627
2018-11-08,3221.9101,3251.7281,3212.7737,3253.5735,3207.7084,7641454000.0,85221664700.0,11.152545667355977,1.8454000000001543,44.01969999999983,31.66339999999991,14.201700000000073,-0.0028357091651936006,92.41567085130416,68.84827383246618,3246.182960000005,3192.255639999999,3172.7250350000095,3267.2726583333383,3435.480473333328,3747.104342400005,0.0112494553882303,0.0057806879260626776,0.0283791829740907,-0.030693489153365894,-0.1812706743397685,-0.19815325655943983
2018-11-09,3212.7737,3193.3039,3167.4442,3193.3039,3166.3106,8428276200.0,88194192200.0,10.464084245364432,0.0,26.99330000000009,-19.469800000000305,46.463100000000395,-0.014109148117092851,91.09817818196143,65.15773743331876,3221.6227000000054,3191.636559999999,3172.5609350000095,3263.4378983333386,3429.4354733333284,3743.787630800005,-0.03732283806785852,-0.00195069691379135,-0.0010350941055712326,-0.06772143690983956,-0.1863419039477614,-0.20746967795629212
2018-11-12,3167.4442,3160.2465,3205.1407,3206.5127,3152.4399,8806239100.0,97363052000.0,11.056144501004974,46.266200000000026,7.806600000000344,39.06850000000031,15.004300000000057,0.011901235702905133,91.99359274607409,64.05743340524577,3210.0838200000053,3204.4617399999993,3176.4953900000096,3260.1065916666716,3423.9445566666614,3740.6196564000047,-0.017682291084829882,0.04168229798612488,0.025168820780721468,-0.058701109782321015,-0.17052312486479537,-0.19814035270218466
2018-11-13,3205.1407,3164.9222,3237.3823,3254.7684,3161.0979,12649346400.0,125603047200.0,9.929607683128987,89.84619999999995,3.8242999999997664,49.627700000000004,44.042799999999716,0.010059339984669124,108.62455211441116,82.44476293049583,3208.9302000000052,3217.1739199999993,3183.3158150000095,3257.5572283333386,3418.3972116666614,3737.598394000005,-0.0017785484139125618,0.04087175334670534,0.04398892373744023,-0.045116895361742015,-0.17055355770903757,-0.1891742423086905
2018-11-14,3237.3823,3233.6409,3204.9427,3239.2448,3200.2285,11380865900.0,105386565900.0,9.259977828224828,5.603900000000067,33.41239999999971,1.8624999999997272,37.15380000000005,-0.01002031795874092,104.9060340244263,79.15416011208245,3205.536720000005,3222.2858499999993,3187.6506350000095,3254.757711666672,3412.428049999995,3734.334606400005,-0.00526625494609545,0.016208675476248935,0.027802935258834482,-0.04979996968199929,-0.18267155705586247,-0.20292695924802306
2018-11-15,3204.9427,3201.2814,3242.3715,3242.3836,3198.7814,9855881000.0,100119192300.0,10.158319920867552,41.102200000000266,2.5,37.440900000000056,6.16130000000021,0.011678461521324568,111.4052823553163,82.09323648652881,3211.456280000005,3228.8196199999993,3197.54962000001,3253.930970000006,3406.8960783333287,3731.0871064000053,0.00921253806329414,0.020565629487479864,0.06503095298049355,-0.015068305479748356,-0.1699439924872409,-0.20025299399037522
2018-11-16,3242.3715,3242.879,3257.6735,3282.39,3223.7215,12687683500.0,135379803900.0,10.670175048108664,39.51099999999997,19.1574999999998,40.018499999999676,18.65000000000009,0.004719385178410196,120.61659480591626,109.8451471063109,3229.502140000005,3225.5624199999993,3203.686020000009,3253.613401666672,3401.9218366666614,3727.9257776000054,0.028486468680332333,-0.009899565245207409,0.03914836797003329,-0.005814978333872012,-0.15485697867408466,-0.19523989306635614
2018-11-19,3257.6735,3258.7919,3294.6031,3294.6031,3251.0665,11595659500.0,123188777500.0,10.623697384353171,35.811199999999644,7.725400000000263,36.92959999999994,6.606999999999971,0.011336188233719513,120.61716401242275,110.03931022174265,3247.394620000005,3228.739219999999,3204.9025150000093,3254.6964566666725,3397.483387499995,3724.800590800005,0.027912159987235396,0.009736317964704977,0.007439714822602417,0.020121037157376787,-0.13916480304095646,-0.19168692517907338
2018-11-20,3294.6031,3268.0768,3218.4076,3278.7845,3213.6833,10936115400.0,114155066800.0,10.438356091231444,10.707700000000386,54.393499999999676,-15.818599999999606,80.91979999999967,-0.02312736851367614,120.67616253291969,103.15815770044895,3243.599680000005,3226.264939999999,3206.651610000009,3253.8824200000063,3392.4993008333277,3721.2265764000053,-0.005861124279329055,-0.007629248399950828,0.010988759687402316,-0.014949025323989673,-0.15671183372819797,-0.21729642410565664
2018-11-21,3218.4076,3187.1025,3226.4918,3230.2578,3185.2393,8411972600.0,87813273900.0,10.439082255213242,43.1552999999999,1.8631999999997788,11.850199999999859,33.16829999999982,0.002511863320233232,127.110093745289,100.49784625069513,3247.9095000000048,3226.723109999999,3208.5661100000093,3252.213135000006,3387.4428999999946,3717.620250400005,0.006723708352102342,0.0014220446436414846,0.012009904768261581,-0.03010750548397223,-0.15829036272755737,-0.21840249299836811
2018-11-22,3226.4918,3232.9731,3214.4273,3235.4524,3199.6981,6509829100.0,70083372600.0,10.765777645376282,2.4792999999999665,33.27500000000009,8.96060000000034,26.793699999999717,-0.0037392005769237846,133.97744163443951,97.37499821250113,3242.320660000005,3226.888469999999,3209.572055000009,3250.6543483333394,3382.5297166666614,3714.0805556000046,-0.008618444863582209,0.0005146954483596922,0.006298358668186177,-0.028273423954289556,-0.1549896315973781,-0.21586921929837188
2018-11-23,3214.4273,3208.593,3143.4752,3212.1952,3139.3857,8463825500.0,86864946100.0,10.263083294900161,3.6022000000002663,69.20730000000003,-2.2320999999997184,75.04160000000002,-0.02207301437490905,131.83720177105377,99.42329277641444,3219.4810000000048,3224.4915699999992,3208.064065000009,3247.711840000006,3377.6972399999945,3710.3597780000046,-0.03505517050741891,-0.007567299843829978,-0.009503235249170183,-0.05317744980106642,-0.15574515189509386,-0.22834311354067605
2018-11-26,3143.4752,3148.6721,3141.2434,3169.4418,3131.636,5937914000.0,61899479500.0,10.424448636339294,20.769700000000284,17.036099999999806,25.9666000000002,11.839199999999892,-0.0007099785613069454,117.38724320613836,94.24203263857603,3188.8090600000046,3218.101839999999,3211.281790000009,3244.6436516666727,3372.1878024999946,3706.504702800005,-0.04654876333965685,-0.01993587988196588,0.02091544481830332,-0.05536023185876604,-0.17387352470859074,-0.23477854706497592
2018-11-27,3141.2434,3152.7743,3137.2413,3162.0121,3126.289,5540783200.0,61946261100.0,11.180055032653145,9.23779999999988,26.485299999999825,20.76870000000008,14.954399999999623,-0.0012740496327027229,97.2610211074447,74.30936574277662,3172.5758000000046,3208.087739999999,3212.6308300000096,3240.1547816666725,3366.9099041666614,3702.5702648000047,-0.025219397319345083,-0.03093270757673572,0.00867477177554754,-0.0790624949087404,-0.16797051686167552,-0.2386908790776895
2018-11-28,3137.2413,3137.7477,3178.9326,3179.4108,3126.6179,7488195500.0,77620553100.0,10.36572203543564,41.66310000000021,11.129799999999705,42.16949999999997,10.623399999999947,0.013289159491812086,116.61577137627339,87.75750779873108,3163.0639600000045,3205.486729999999,3213.8862900000095,3236.4674833333393,3361.6711916666613,3698.710661600005,-0.014740220322270625,-0.008115620912660937,0.00796151109792631,-0.06506670768421763,-0.16510377029429812,-0.2328522184313685
2018-11-29,3178.9326,3198.8259,3137.6542,3204.8565,3137.6542,8049846600.0,86927611800.0,10.798666871490445,6.0306000000000495,61.17169999999987,25.923899999999776,41.27840000000015,-0.01298498747661403,98.60838098195663,81.02326228363468,3147.709340000005,3195.014999999999,3211.9173100000094,3232.318826666672,3355.774006666661,3694.390472400005,-0.023883912384641492,-0.03229651506621012,-0.012395083741318813,-0.07350184268843296,-0.1840322424443409,-0.2560748549891452
2018-11-30,3137.6542,3136.1962,3172.69,3175.154,3132.423,7092104400.0,77297697600.0,10.899120097555247,38.957800000000134,3.773200000000088,37.49980000000005,5.231200000000172,0.011166240052839616,92.39440414552156,93.94125352593306,3153.552300000005,3186.5166499999987,3206.03953500001,3229.345423333339,3350.2351641666614,3690.1709660000047,0.00929379051566892,-0.026087175402937035,-0.03572848895317993,-0.05323759624542934,-0.17320831028466477,-0.24952335464094166
2018-12-03,3172.69,3260.6862,3260.9502,3273.6397,3228.3611,12148715700.0,145828416400.0,12.003607624137587,12.953500000000076,32.32510000000002,100.94970000000012,-55.671100000000024,0.027818727956403055,94.82273586803554,120.2769012808721,3177.493660000005,3183.151359999999,3205.9452900000097,3228.119533333339,3345.4846424999946,3686.8051804000047,0.03810809439344953,-0.010214553613453359,-0.0005776877905964151,-0.022058275780538872,-0.14880206090671366,-0.20511093442306383
