,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
4493,2019-07-17,9283.4086,9274.6914,9301.9982,9354.8116,9242.2533,80.1202000000012,32.438099999999395,71.40300000000025,41.15530000000035,0.0020024541416823194,75.08357808379037,120.24361811994748,9252.195179999979,9262.371439999999,9266.960399999967,9193.446329999997,9147.65759000001,8603.752616799993,0.014821015409026916,-0.01250984239231534,0.04215555903438739,-0.09581055471955435,0.23361309071952907,0.04383814715214318
4494,2019-07-18,9301.9982,9258.122,9154.6503,9258.122,9153.0078,0.0,105.11419999999998,-43.87620000000061,148.9904000000006,-0.015840456731114005,72.73010026412062,114.73660478799307,9252.57105999998,9241.00601,9267.944949999968,9172.386484999995,9161.693383333342,8603.728734799992,0.00020533672486000576,-0.022806079554672065,0.002155565159441819,-0.12128637646220708,0.2254638738659156,-0.0006517571385555865
4495,2019-07-19,9154.6503,9198.8165,9228.5537,9298.208,9198.8165,99.39149999999972,0.0,143.5577000000012,-44.16620000000148,0.00807277149625274,79.12319657743203,131.88285093936133,9255.605259999978,9219.539869999999,9268.659269999967,9155.79060333333,9175.419757500009,8603.821245599993,0.001646626488227776,-0.02273181302414673,0.0015504651140303416,-0.09739075117328733,0.21726426957551648,0.002512398665743598
4496,2019-07-22,9228.5537,9247.2813,9122.6367,9254.6487,9073.488,7.367399999999179,173.79330000000118,26.094999999999345,155.06570000000102,-0.01147709635151184,77.01478109737178,130.47078742708268,9218.24949999998,9213.17483,9264.185244999968,9139.09021833333,9187.889768333343,8604.216513199992,-0.02006342933130445,-0.006928849415124505,-0.009713347980418785,-0.09896856978838942,0.19621755971498067,0.010950673017650514
4497,2019-07-23,9122.6367,9125.4593,9175.832,9175.832,9104.756,50.372699999999895,20.703300000001036,53.195300000001225,17.880699999999706,0.005831132133103711,77.95383323425699,133.5974189478546,9196.73417999998,9210.879519999999,9267.071749999966,9121.416236666664,9201.715149166675,8603.825386799994,-0.011588049673909695,-0.0024952316801051255,0.006331372541471758,-0.10359621295290256,0.22071210139365016,-0.010544066662428131
4498,2019-07-24,9175.832,9203.228,9266.2977,9312.6734,9203.228,109.44540000000052,0.0,136.84139999999934,-27.39599999999882,0.009859127760839526,83.19410767124023,146.5293424872342,9189.594079999977,9220.894629999999,9274.265359999965,9110.72745333333,9216.236182500008,8603.582710399993,-0.0038379388204999865,0.010926194438129366,0.015771266095842673,-0.06473065133361389,0.23160239388911963,-0.006504697754472599
4499,2019-07-25,9266.2977,9265.3094,9344.8177,9344.8177,9247.9664,79.50829999999951,17.343000000000757,78.52000000000044,18.33129999999983,0.008473718689180565,90.57110700919011,121.75864012473951,9227.627559999977,9240.099309999998,9279.532049999965,9103.460716666663,9230.996958333342,8603.692559599995,0.020772765072195165,0.02098236720860136,0.011400398673783174,-0.044577460305253225,0.23387962587458944,0.002947435062957693
4500,2019-07-26,9344.8177,9310.6464,9349.0021,9363.27,9294.6051,52.623600000000806,16.041299999998955,18.452300000000832,50.21259999999893,0.0004477775954900842,79.91898416129605,105.42532982597884,9251.717239999978,9253.661249999997,9288.066479999967,9098.902529999998,9245.609869166676,8603.947917599995,0.013051709283546709,0.014719827061997481,0.018596945942192855,-0.02842207227101945,0.2308683032037273,0.006875431562178624
4501,2019-07-29,9349.0021,9350.2119,9354.2767,9376.4243,9310.6341,26.212400000000343,39.577800000000934,27.422200000000885,38.36800000000039,0.0005641885565519367,76.8851897681245,96.36190616860532,9298.045239999978,9258.147369999997,9279.257119999966,9093.564898333332,9260.315668333342,8604.584067199994,0.025391781742223785,0.00481890619233849,-0.018486739139739083,-0.033103184105620964,0.23251559559126123,0.017295623834390206
4502,2019-07-30,9354.2767,9362.2301,9399.1014,9469.0761,9362.2301,106.84599999999955,0.0,114.79939999999988,-7.953400000000329,0.004791893744173548,82.99352220903337,103.97921398980625,9342.699119999977,9269.716649999998,9271.936079999965,9101.157911666665,9275.714013333341,8605.585345199996,0.02433233302440585,0.012462319066727234,-0.015339213186262302,0.05093976079174012,0.24469977354892536,0.02736096485150652
