,日期,收盘价,基差,指数,贴水率
1806,2017-06-14,2438.4,-38.91730000000007,2477.3173,-0.01570945312495903
1807,2017-06-15,2423.2,-38.77400000000034,2461.974,-0.015749150884615492
1808,2017-06-16,2408.0,-44.789900000000216,2452.7899,-0.01826079763293228
1809,2017-06-19,2453.4,-30.715899999999692,2484.1159,-0.012364922264697752
1810,2017-06-20,2444.6,-29.82529999999997,2474.4253,-0.012053425092283033
1811,2017-06-21,2466.2,-31.054399999999987,2497.2544,-0.012435417072445639
1812,2017-06-22,2477.0,-39.67290000000003,2516.6729,-0.01576402718048898
1813,2017-06-23,2504.2,-24.89830000000029,2529.0983,-0.009844733990766704
1814,2017-06-26,2513.6,-29.721300000000156,2543.3213,-0.011686018593089341
1815,2017-06-27,2521.0,-33.69959999999992,2554.6996,-0.013191218255171732
1816,2017-06-28,2502.0,-35.63630000000012,2537.6363,-0.014043107753463378
1817,2017-06-29,2520.0,-32.97539999999981,2552.9754,-0.012916458184438366
1818,2017-06-30,2512.2,-37.76760000000013,2549.9676,-0.014811011716384213
1819,2017-07-03,2501.2,-33.16750000000002,2534.3675,-0.013087091749716654
1820,2017-07-04,2467.0,-44.15070000000014,2511.1507,-0.017581859981561497
1821,2017-07-05,2520.0,-28.099299999999857,2548.0993,-0.011027552968598931
1822,2017-07-06,2515.8,-38.079299999999876,2553.8793,-0.014910375756598942
1823,2017-07-07,2509.0,-34.6576,2543.6576,-0.013625104259315405
1824,2017-07-10,2523.0,-27.114700000000084,2550.1147,-0.01063273742157562
1825,2017-07-11,2559.6,-10.991899999999987,2570.5919,-0.0042760190756066675
1826,2017-07-12,2543.2,-21.94280000000026,2565.1428,-0.008554221620722348
1827,2017-07-13,2588.0,-12.953500000000076,2600.9535,-0.004980288959414336
1828,2017-07-14,2619.2,-3.7835000000000036,2622.9835,-0.001442441403081645
1829,2017-07-17,2625.0,-6.414400000000114,2631.4144,-0.0024376244197797632
1830,2017-07-18,2612.2,-12.108100000000377,2624.3081,-0.004613825640366075
1831,2017-07-19,2657.0,-0.8881999999998698,2657.8882,-0.0003341750792978688
1832,2017-07-20,2667.8,2.3517000000001644,2665.4483,0.0008822906075500186
1833,2017-07-21,2641.0,1.7872000000002117,2639.2128,0.0006771716172338251
1834,2017-07-24,2663.0,8.621500000000196,2654.3785,0.003248029623507046
1835,2017-07-25,2643.6,0.5266999999998916,2643.0733,0.00019927559330264945
1836,2017-07-26,2632.0,-4.20049999999992,2636.2005,-0.001593391701427839
1837,2017-07-27,2631.8,-4.826199999999972,2636.6262,-0.0018304452864801128
1838,2017-07-28,2635.0,-1.3937000000000808,2636.3937,-0.0005286387992810333
1839,2017-07-31,2639.8,1.6756000000000313,2638.1244,0.000635148213632394
1840,2017-08-01,2683.6,1.7945999999997184,2681.8054,0.000669176070717032
1841,2017-08-02,2688.2,7.568599999999606,2680.6314,0.0028234392837447196
1842,2017-08-03,2648.0,1.783600000000206,2646.2164,0.0006740189502265219
1843,2017-08-04,2633.2,5.397399999999834,2627.8026,0.002053959456467481
1844,2017-08-07,2640.0,5.824099999999817,2634.1759,0.0022109761159077555
1845,2017-08-08,2640.6,5.415899999999965,2635.1841,0.002055226426115718
1846,2017-08-09,2621.8,1.419300000000021,2620.3807,0.000541638854232143
1847,2017-08-10,2607.2,-4.141200000000026,2611.3412,-0.0015858517454555637
1848,2017-08-11,2563.0,-7.25649999999996,2570.2565,-0.0028232590793953677
1849,2017-08-14,2588.4,-3.053599999999733,2591.4536,-0.0011783348156415895
1850,2017-08-15,2604.4,-0.8414999999999964,2605.2415,-0.00032300268516373485
1851,2017-08-16,2588.8,-6.201699999999619,2595.0017,-0.0023898635596268083
1852,2017-08-17,2603.6,-0.4837000000002263,2604.0837,-0.00018574671774191677
1853,2017-08-18,2620.6,7.335299999999734,2613.2647,0.0028069487182066683
1854,2017-08-21,2618.0,1.1752000000001317,2616.8248,0.00044909387896359426
