code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600208,2010-04-24,2010-03-31,0.029669,0.191528,0.339871,199372889.640000,0.362225,,3384402426.00,3182948985.00
sh.600208,2010-08-14,2010-06-30,0.048486,0.137759,0.298242,320395223.290000,0.228444,2298371270.300000,5076603639.00,5075270128.00
sh.600208,2010-10-23,2010-09-30,0.084535,0.143196,0.271779,579857591.500000,0.213491,,5076603639.00,5075270128.00
sh.600208,2011-04-13,2010-12-31,0.210996,0.213050,0.317261,1734231334.130000,0.303880,8112577844.010000,5133483639.00,5132150128.00
sh.600208,2011-04-23,2011-03-31,0.031717,0.275935,0.211436,272360086.010000,0.320554,,5133483639.00,5132150128.00
sh.600208,2011-08-27,2011-06-30,0.046484,0.149099,0.223858,383446512.850000,0.321741,2560241678.230000,5133483639.00,5132150128.00
sh.600208,2011-10-29,2011-09-30,0.066286,0.143083,0.201488,575242899.180000,0.253879,,6210715727.00,6200043514.00
sh.600208,2012-04-21,2011-12-31,0.154130,0.217709,0.272664,1456099535.630000,0.226578,6657200523.180000,6210715727.00,6200043514.00
sh.600208,2012-04-28,2012-03-31,0.020487,0.208957,0.094865,201444584.730000,0.215317,,6210715727.00,6209115514.00
sh.600208,2012-08-24,2012-06-30,0.028002,0.126871,0.115852,286047703.560000,0.207580,2237435309.930000,6210715727.00,6209115514.00
sh.600208,2012-10-27,2012-09-30,0.040658,0.121800,0.164211,421152910.250000,0.198249,,6258857807.00,6235225594.00
sh.600208,2013-04-20,2012-12-31,0.206636,0.235600,0.378571,2334479866.490000,0.368986,9877778311.350000,6258857807.00,6235225594.00
sh.600208,2013-04-25,2013-03-31,0.004305,0.050009,0.265797,61813409.990000,0.345298,,6258857807.00,6235225594.00
sh.600208,2013-08-31,2013-06-30,0.017956,0.074078,0.251225,233513055.180000,0.360221,3022854969.880000,6258857807.00,6235225594.00
sh.600208,2013-10-31,2013-09-30,0.023251,0.074093,0.253014,296987138.290000,0.349462,,6258857807.00,6235225594.00
sh.600208,2014-04-26,2013-12-31,0.077190,0.105824,0.242604,974541801.930000,0.157079,9070557240.870000,6258857807.00,6235225594.00
sh.600208,2014-04-26,2014-03-31,0.003622,0.045293,0.205613,48059240.050000,0.155888,,6258857807.00,6235225594.00
sh.600208,2014-08-23,2014-06-30,0.021180,0.096480,0.218195,276502326.300000,0.164780,2847701492.500000,6258857807.00,6257686192.00
sh.600208,2014-10-30,2014-09-30,0.034401,0.110948,0.206929,455399590.250000,0.181904,,6258857807.00,6257686192.00
sh.600208,2015-04-25,2014-12-31,0.067365,0.103820,0.221217,1146004368.930000,0.134688,10966612560.670000,8032815867.00,6257686192.00
sh.600208,2015-04-29,2015-03-31,0.007730,0.113016,0.178520,152999914.610000,0.145795,,8138131967.00,6350234292.00
sh.600208,2015-07-29,2015-06-30,0.021939,0.100579,0.229668,500842727.720000,0.153032,4959048296.530000,8138131967.00,6363002292.00
sh.600208,2015-10-24,2015-09-30,0.029696,0.101552,0.223467,668651086.930000,0.151158,,8138131967.00,6363002292.00
sh.600208,2016-04-16,2015-12-31,0.053558,0.089520,0.256970,1041679563.630000,0.127557,11591804344.000000,9099670428.00,8136960352.00
sh.600208,2016-04-23,2016-03-31,0.004784,0.058226,0.233932,112751465.130000,0.123334,,9099670428.00,8136960352.00
sh.600208,2016-08-27,2016-06-30,0.013671,0.049985,0.199486,206946192.920000,0.120029,4126129208.930000,8599343536.00,7636633460.00
sh.600208,2016-10-29,2016-09-30,0.029489,0.073807,0.204429,642872702.780000,0.146652,,8599343536.00,7636633460.00
sh.600208,2017-04-29,2016-12-31,0.219583,0.429112,0.202923,5847179529.420000,0.678943,13596570430.900000,8599343536.00,8598171921.00
sh.600208,2017-04-29,2017-03-31,0.013014,0.253181,0.166175,389008661.740000,0.710051,,8599343536.00,8598171921.00
sh.600208,2017-08-30,2017-06-30,0.016230,0.119236,0.136824,487784059.660000,0.698073,4074357500.650000,8599343536.00,8598171921.00
sh.600208,2017-10-28,2017-09-30,0.057604,0.188782,0.184110,1760364456.550000,0.799402,,8599343536.00,8598171921.00
sh.600208,2018-04-28,2017-12-31,0.108451,0.191442,0.281707,3350220958.110000,0.386293,17457198703.250000,8599343536.00,8598171921.00
sh.600208,2018-04-28,2018-03-31,0.024120,0.263219,0.351127,785878004.240000,0.433671,,8599343536.00,8598171921.00
sh.600208,2018-08-30,2018-06-30,0.044758,0.261303,0.287970,1461030054.730000,0.500547,5557700195.950000,8599343536.00,8598171921.00
sh.600208,2018-10-30,2018-09-30,0.054322,0.250149,0.281453,1771608136.180000,0.390948,,8599343536.00,8598171921.00
sh.600208,2019-04-27,2018-12-31,0.076146,0.156344,0.285332,2693359300.610000,0.291441,17160928138.540000,8599343536.00,8598171921.00
sh.600208,2019-04-30,2019-03-31,0.023765,0.607413,0.150053,802303034.630000,0.293789,,8599343536.00,8598171921.00
sh.600208,2019-08-31,2019-06-30,0.050344,0.234524,0.387322,1706163502.470000,0.322074,7241792445.260000,8599343536.00,8598171921.00
sh.600208,2019-10-30,2019-09-30,0.071249,0.220227,0.398315,2436155431.870000,0.371301,,8599343536.00,8598171921.00
sh.600208,2020-04-29,2019-12-31,0.063285,0.142578,0.354909,2111626934.670000,0.250416,14741603308.750000,8599343536.00,8598171921.00
