code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600332,2010-04-30,2010-03-31,0.020462,0.057648,0.252544,71523082.090000,0.297803,,810900000.00,591000000.00
sh.600332,2010-08-30,2010-06-30,0.050122,0.074996,0.279686,174139273.080000,0.324581,2282765820.260000,810900000.00,591000000.00
sh.600332,2010-10-29,2010-09-30,0.066865,0.068126,0.278117,233935874.090000,0.351756,,810900000.00,591000000.00
sh.600332,2011-03-28,2010-12-31,0.078062,0.061085,0.285386,274031470.540000,0.329402,4403097934.040000,810900000.00,591000000.00
sh.600332,2011-04-29,2011-03-31,0.024279,0.065877,0.250981,90721057.080000,0.352444,,810900000.00,591000000.00
sh.600332,2011-08-27,2011-06-30,0.049791,0.066228,0.248197,186585838.080000,0.342774,2817341310.570000,810900000.00,591000000.00
sh.600332,2011-10-31,2011-09-30,0.065993,0.060558,0.249109,249641546.310000,0.344971,,810900000.00,591000000.00
sh.600332,2012-02-17,2011-12-31,0.078549,0.055150,0.256794,299996858.610000,0.354583,5439611618.460000,810900000.00,591000000.00
sh.600332,2012-04-27,2012-03-31,0.031788,0.070067,0.230845,127978020.950000,0.397955,,810900000.00,591000000.00
sh.600332,2012-08-27,2012-06-30,0.056394,0.064697,0.237351,226312028.390000,0.400783,3498046152.320000,810900000.00,591000000.00
sh.600332,2012-10-30,2012-09-30,0.075288,0.055581,0.261565,304308108.270000,0.419486,,810900000.00,591000000.00
sh.600332,2013-03-01,2012-12-31,0.100347,0.049621,0.276352,408330681.140000,0.487456,8128653256.840000,810900000.00,591000000.00
sh.600332,2013-04-27,2013-03-31,0.036719,0.051993,0.329367,154530801.560000,0.525728,,810900000.00,591000000.00
sh.600332,2013-08-31,2013-06-30,0.110700,0.066840,0.358142,606402435.650000,0.441792,9000964815.890000,1256501005.00,1036601005.00
sh.600332,2013-10-31,2013-09-30,0.135488,0.057034,0.342505,753119235.270000,0.431448,,1291340650.00,1036601005.00
sh.600332,2014-03-18,2013-12-31,0.179358,0.057186,0.329500,1006947006.940000,0.758936,17463015713.010000,1291340650.00,1036601005.00
sh.600332,2014-04-29,2014-03-31,0.045448,0.070974,0.346258,331850712.440000,0.801912,,1291340650.00,1036601005.00
sh.600332,2014-08-30,2014-06-30,0.095979,0.069624,0.355946,697652817.150000,0.825866,9942920175.920000,1291340650.00,1036601005.00
sh.600332,2014-10-30,2014-09-30,0.120495,0.059695,0.354016,873651767.600000,0.858510,,1291340650.00,1036601005.00
sh.600332,2015-03-20,2014-12-31,0.163677,0.064396,0.352447,1210643517.800000,0.923437,18614517000.000000,1291340650.00,1036601005.00
sh.600332,2015-04-28,2015-03-31,0.046093,0.079022,0.353018,373787472.890000,0.960170,,1291340650.00,1036601005.00
sh.600332,2015-08-15,2015-06-30,0.097642,0.075674,0.369079,792467613.270000,1.002135,10401305000.000000,1291079250.00,1036339605.00
sh.600332,2015-10-31,2015-09-30,0.121072,0.065272,0.364617,983705456.700000,1.005293,,1291079250.00,1036339605.00
sh.600332,2016-03-19,2015-12-31,0.160635,0.070343,0.362054,1345286972.190000,1.007182,18966491916.900000,1291079250.00,1036339605.00
sh.600332,2016-04-28,2016-03-31,0.047292,0.083886,0.396147,423697839.520000,1.042046,,1291079250.00,1036339605.00
sh.600332,2016-08-18,2016-06-30,0.093761,0.079498,0.379656,863128096.520000,1.050996,10779756975.240000,1291079250.00,1036339605.00
sh.600332,2016-10-26,2016-09-30,0.081787,0.070592,0.366711,1097257418.170000,0.859134,,1625790949.00,1036339605.00
sh.600332,2017-03-16,2016-12-31,0.116920,0.077795,0.330591,1558673995.170000,0.927569,19875179176.980000,1625790949.00,1071179250.00
sh.600332,2017-04-27,2017-03-31,0.027555,0.095209,0.393712,503456560.550000,0.973911,,1625790949.00,1071179250.00
sh.600332,2017-08-21,2017-06-30,0.065446,0.107147,0.374248,1190969668.520000,1.128292,11033455701.370000,1625790949.00,1071179250.00
sh.600332,2017-10-23,2017-09-30,0.083187,0.095768,0.369992,1529123019.890000,1.191581,,1625790949.00,1071179250.00
sh.600332,2018-03-16,2017-12-31,0.113851,0.101114,0.376583,2118755620.900000,1.268092,20789416101.260000,1625790949.00,1071179250.00
sh.600332,2018-04-27,2018-03-31,0.046844,0.134092,0.385511,926469522.080000,1.526739,,1625790949.00,1071179250.00
sh.600332,2018-08-23,2018-06-30,0.131802,0.179202,0.322735,2659363288.680000,2.166645,14725777236.680000,1625790949.00,1071179250.00
sh.600332,2018-10-30,2018-09-30,0.169607,0.117463,0.255754,3509314979.010000,2.469748,,1625790949.00,1071179250.00
sh.600332,2019-03-18,2018-12-31,0.169689,0.083670,0.238421,3533716235.900000,2.116496,41980377512.590000,1625790949.00,1071179250.00
sh.600332,2019-04-29,2019-03-31,0.062837,0.081149,0.249797,1465165337.350000,2.425068,,1625790949.00,1071179250.00
sh.600332,2019-08-23,2019-06-30,0.112659,0.080316,0.223356,2677811173.760000,2.072555,33199319702.260000,1625790949.00,1071179250.00
sh.600332,2019-10-29,2019-09-30,0.137845,0.067518,0.217236,3380118941.640000,1.944412,,1625790949.00,1405890949.00
sh.600332,2020-04-01,2019-12-31,0.139041,0.052982,0.198157,3441287198.230000,1.961436,64682984312.000000,1625790949.00,1405890949.00
