code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600369,2010-04-30,2010-03-31,0.027277,0.366061,,130572992.070000,0.481982,,1903854562.00,379400539.00
sh.600369,2010-08-31,2010-06-30,0.034693,0.283346,,161188449.960000,0.387488,568874281.420000,1903854562.00,379400539.00
sh.600369,2010-10-25,2010-09-30,0.052070,0.364925,,403491473.620000,0.348257,,2322554562.00,379400539.00
sh.600369,2011-03-22,2010-12-31,0.101928,0.415851,,805283323.340000,0.346723,1936470765.120000,2322554562.00,379400539.00
sh.600369,2011-04-30,2011-03-31,0.026382,0.518488,,297575617.810000,0.418628,,2322554562.00,379400539.00
sh.600369,2011-07-26,2011-06-30,0.029671,0.407940,,335035405.280000,0.421575,735298195.060000,2322554562.00,379400539.00
sh.600369,2011-10-25,2011-09-30,0.018066,0.288601,,201611157.830000,0.259801,,2322554562.00,798100539.00
sh.600369,2012-03-20,2011-12-31,0.024990,0.252511,,262675208.260000,0.113098,1040250610.820000,2322554562.00,798100539.00
sh.600369,2012-04-17,2012-03-31,0.016069,0.454453,,160461716.040000,0.054062,,2322554562.00,1641868068.00
sh.600369,2012-08-21,2012-06-30,0.027906,0.400304,,282383726.820000,0.090428,705423269.840000,2322554562.00,1641868068.00
sh.600369,2012-10-30,2012-09-30,0.020094,0.249142,,202259027.120000,0.113376,,2322554562.00,1641868068.00
sh.600369,2013-03-26,2012-12-31,0.033728,0.270044,,342407499.380000,0.147427,1267970836.730000,2322554562.00,1641868068.00
sh.600369,2013-04-27,2013-03-31,0.012733,0.326121,,134078887.660000,0.135766,,2322554562.00,1641868068.00
sh.600369,2013-08-27,2013-06-30,0.029149,0.398447,,308237851.610000,0.156878,773598819.040000,2322554562.00,1641868068.00
sh.600369,2013-10-29,2013-09-30,0.047906,0.409496,,510094248.700000,0.277943,,2322554562.00,2322554562.00
sh.600369,2014-03-05,2013-12-31,0.059398,0.324026,,636428320.700000,0.271395,1964126453.350000,2322554562.00,2322554562.00
sh.600369,2014-04-25,2014-03-31,0.021092,0.350030,,275628525.050000,0.272519,,2822554562.00,2322554562.00
sh.600369,2014-08-26,2014-06-30,0.041258,0.363489,,547584107.450000,0.307488,1506467467.010000,2822554562.00,2322554562.00
sh.600369,2014-10-25,2014-09-30,0.066732,0.349097,,901216472.040000,0.359809,,2822554562.00,2322554562.00
sh.600369,2015-04-28,2014-12-31,0.097139,0.366492,,1346796992.540000,0.474410,3547522509.110000,2822554562.00,2322554562.00
sh.600369,2015-04-28,2015-03-31,0.056143,0.481501,,972236159.490000,0.719923,,2822554562.00,2322554562.00
sh.600369,2015-08-31,2015-06-30,0.160678,0.472239,,2851947192.440000,1.289485,5271908804.870000,2822554562.00,2322554562.00
sh.600369,2015-10-30,2015-09-30,0.180005,0.462716,,3103827884.210000,0.630342,,5645109124.00,4645109124.00
sh.600369,2016-03-05,2015-12-31,0.198760,0.417223,,3545060131.450000,0.629687,8496799180.160000,5645109124.00,4645109124.00
sh.600369,2016-04-29,2016-03-31,0.018541,0.508628,,369937504.270000,0.519609,,5645109124.00,4645109124.00
sh.600369,2016-08-30,2016-06-30,0.045737,0.439508,,880313787.930000,0.278563,1962865451.370000,5645109124.00,4645109124.00
sh.600369,2016-10-31,2016-09-30,0.055612,0.367793,,1086268319.190000,0.265942,,5645109124.00,4645109124.00
sh.600369,2017-04-14,2016-12-31,0.048269,0.251318,,912701377.380000,0.162543,3275005764.920000,5645109124.00,4645109124.00
sh.600369,2017-04-29,2017-03-31,0.001253,0.043831,,22224329.040000,0.105869,,5645109124.00,5645109124.00
sh.600369,2017-08-30,2017-06-30,0.019292,0.273342,,373367421.410000,0.075094,1365934880.990000,5645109124.00,5645109124.00
sh.600369,2017-10-31,2017-09-30,0.030753,0.270620,,602673181.960000,0.079988,,5645109124.00,5645109124.00
sh.600369,2018-03-31,2017-12-31,0.034847,0.225722,,690882061.830000,0.118474,3060764762.100000,5645109124.00,5645109124.00
sh.600369,2018-04-28,2018-03-31,0.013511,0.363958,,261199602.150000,0.160629,,5645109124.00,5645109124.00
sh.600369,2018-08-31,2018-06-30,0.015881,0.222789,,315411291.670000,0.107488,1415741148.780000,5645109124.00,5645109124.00
sh.600369,2018-10-31,2018-09-30,0.015467,0.164232,,300237028.130000,0.066474,,5645109124.00,5645109124.00
sh.600369,2019-03-30,2018-12-31,0.011946,0.078431,,215225572.120000,0.040184,2512465442.490000,5645109124.00,5645109124.00
sh.600369,2019-04-29,2019-03-31,0.021905,0.376380,,428687966.570000,0.066981,,5645109124.00,5645109124.00
sh.600369,2019-08-24,2019-06-30,0.026099,0.280145,,478996262.920000,0.073098,1709818323.050000,5645109124.00,5645109124.00
sh.600369,2019-10-31,2019-09-30,0.035584,0.281387,,655971466.130000,0.106607,,5645109124.00,5645109124.00
sh.600369,2020-04-30,2019-12-31,0.054571,0.276454,,964502673.180000,0.184585,3488837437.180000,5645109124.00,5645109124.00
