code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600036,2010-04-29,2010-03-31,0.056010,0.378297,,5909000000.000000,0.943639,,21126730885.00,17666130885.00
sh.600036,2010-08-19,2010-06-30,0.121338,0.400893,,13203000000.000000,1.074126,46307000000.000000,21576608885.00,17666130885.00
sh.600036,2010-10-30,2010-09-30,0.182256,0.401283,,20585000000.000000,1.193051,,21576608885.00,17666130885.00
sh.600036,2011-04-01,2010-12-31,0.227251,0.361027,,25769000000.000000,1.194303,99893000000.000000,21576608885.00,17666130885.00
sh.600036,2011-04-29,2011-03-31,0.063660,0.394660,,8810000000.000000,1.328754,,21576608885.00,17666130885.00
sh.600036,2011-08-31,2011-06-30,0.133124,0.403856,,18600000000.000000,1.444435,66005000000.000000,21576608885.00,17666130885.00
sh.600036,2011-10-29,2011-09-30,0.197239,0.403870,,28388000000.000000,1.555944,,21576608885.00,17666130885.00
sh.600036,2012-03-29,2011-12-31,0.241663,0.375708,,36127000000.000000,1.674452,142391000000.000000,21576608885.00,17666130885.00
sh.600036,2012-04-28,2012-03-31,0.068038,0.410146,,11642000000.000000,1.805752,,21576608885.00,17666130885.00
sh.600036,2012-08-18,2012-06-30,0.134993,0.409251,,23376000000.000000,1.895849,57119000000.000000,21576608885.00,17666130885.00
sh.600036,2012-10-30,2012-09-30,0.195515,0.408413,,34789000000.000000,1.971162,,21576608885.00,17666130885.00
sh.600036,2013-03-29,2012-12-31,0.247779,0.399384,,45277000000.000000,2.098244,113367000000.000000,21576608885.00,17666130885.00
sh.600036,2013-04-27,2013-03-31,0.062777,0.421991,,13018000000.000000,2.162110,,21576608885.00,17666130885.00
sh.600036,2013-08-17,2013-06-30,0.127289,0.410041,,26266000000.000000,2.232510,64057000000.000000,21576608885.00,17666130885.00
sh.600036,2013-10-30,2013-09-30,0.172646,0.404907,,39491000000.000000,2.036927,,24539422429.00,20628944429.00
sh.600036,2014-03-29,2013-12-31,0.222121,0.390199,,51742000000.000000,2.051678,132604000000.000000,25219845601.00,20628944429.00
sh.600036,2014-04-29,2014-03-31,0.054464,0.366201,,14967000000.000000,2.127967,,25219845601.00,20628944429.00
sh.600036,2014-08-30,2014-06-30,0.110479,0.362200,,30519000000.000000,2.217738,84260000000.000000,25219845601.00,20628944429.00
sh.600036,2014-10-30,2014-09-30,0.161458,0.367273,,45919000000.000000,2.301719,,25219845601.00,20628944429.00
sh.600036,2015-03-19,2014-12-31,0.192840,0.337923,,56049000000.000000,2.216945,165863000000.000000,25219845601.00,20628944429.00
sh.600036,2015-04-29,2015-03-31,0.053336,0.340966,,17303000000.000000,2.307151,,25219845601.00,20628944429.00
sh.600036,2015-08-26,2015-06-30,0.102017,0.318519,,33169000000.000000,2.316747,104135000000.000000,25219845601.00,20628944429.00
sh.600036,2015-10-30,2015-09-30,0.146224,0.312282,,48786000000.000000,2.323845,,25219845601.00,20628944429.00
sh.600036,2016-03-31,2015-12-31,0.170898,0.287972,,58018000000.000000,2.287722,201471000000.000000,25219845601.00,20628944429.00
sh.600036,2016-04-29,2016-03-31,0.049598,0.316195,,18419000000.000000,2.332528,,25219845601.00,20628944429.00
sh.600036,2016-08-19,2016-06-30,0.095350,0.312897,,35332000000.000000,2.377136,112919000000.000000,25219845601.00,20628944429.00
sh.600036,2016-10-29,2016-09-30,0.137720,0.326556,,52344000000.000000,2.432132,,25219845601.00,20628944429.00
sh.600036,2017-03-25,2016-12-31,0.162695,0.298433,,62380000000.000000,2.461593,209025000000.000000,25219845601.00,20628944429.00
sh.600036,2017-04-28,2017-03-31,0.048548,0.352028,,20092000000.000000,2.526106,,25219845601.00,20628944429.00
sh.600036,2017-08-19,2017-06-30,0.095552,0.350292,,39466000000.000000,2.621309,112666000000.000000,25219845601.00,20628944429.00
sh.600036,2017-10-28,2017-09-30,0.139948,0.357048,,59164000000.000000,2.725790,,25219845601.00,20628944429.00
sh.600036,2018-03-24,2017-12-31,0.158969,0.319778,,70638000000.000000,2.781540,220897000000.000000,25219845601.00,20628944429.00
sh.600036,2018-04-28,2018-03-31,0.046446,0.370465,,22708000000.000000,2.888479,,25219845601.00,20628944429.00
sh.600036,2018-08-25,2018-06-30,0.091253,0.355691,,44869000000.000000,2.999503,126146000000.000000,25219845601.00,20628944429.00
sh.600036,2018-10-31,2018-09-30,0.133977,0.358961,,67564000000.000000,3.121550,,25219845601.00,20628944429.00
sh.600036,2019-03-23,2018-12-31,0.157910,0.325155,,80819000000.000000,3.194310,248555000000.000000,25219845601.00,20628944429.00
sh.600036,2019-04-30,2019-03-31,0.045635,0.370925,,25497000000.000000,3.296055,,25219845601.00,20628944429.00
sh.600036,2019-08-24,2019-06-30,0.091357,0.367734,,50858000000.000000,3.426508,138301000000.000000,25219845601.00,20628944429.00
sh.600036,2019-10-31,2019-09-30,0.135919,0.374337,,77761000000.000000,3.585232,,25219845601.00,20628944429.00
sh.600036,2020-03-21,2019-12-31,0.161309,0.346392,,93423000000.000000,3.682299,269703000000.000000,25219845601.00,20628944429.00
