code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600233,2010-04-23,2010-03-31,0.030797,0.123397,0.289555,28791427.610000,0.690904,,165000000.00,98469000.00
sh.600233,2010-08-21,2010-06-30,0.067550,0.151951,0.332679,65611814.340000,0.747624,429607940.090000,165000000.00,98469000.00
sh.600233,2010-10-25,2010-09-30,0.098324,0.139559,0.301265,101408325.930000,0.633090,,165000000.00,98469000.00
sh.600233,2011-03-22,2010-12-31,0.176876,0.162634,0.310060,176558596.710000,0.837490,1079496509.760000,165000000.00,107250000.00
sh.600233,2011-04-19,2011-03-31,0.016700,0.104857,0.283274,20262818.330000,0.786872,,165000000.00,107250000.00
sh.600233,2011-08-17,2011-06-30,0.046315,0.138938,0.324951,52265444.700000,0.774166,373838895.640000,165000000.00,107250000.00
sh.600233,2011-10-25,2011-09-30,0.075334,0.139327,0.319525,87110370.640000,0.784821,,165000000.00,107250000.00
sh.600233,2012-04-24,2011-12-31,0.131635,0.151804,0.323329,146304981.550000,0.708608,960694070.950000,165000000.00,115500000.00
sh.600233,2012-04-24,2012-03-31,0.016470,0.107622,0.297324,22268792.570000,0.716700,,165000000.00,115500000.00
sh.600233,2012-08-21,2012-06-30,0.028752,0.105587,0.316040,39160603.950000,0.633621,369469909.020000,165000000.00,115500000.00
sh.600233,2012-10-26,2012-09-30,0.054736,0.118593,0.299490,75372278.430000,0.630247,,165000000.00,115500000.00
sh.600233,2013-04-16,2012-12-31,0.079967,0.122895,0.298803,105214082.610000,0.466682,851418963.320000,165000000.00,165000000.00
sh.600233,2013-04-24,2013-03-31,0.013499,0.106120,0.270296,17893250.380000,0.454398,,165000000.00,165000000.00
sh.600233,2013-08-17,2013-06-30,0.024177,0.095747,0.288412,32947038.660000,0.448468,341046926.060000,165000000.00,165000000.00
sh.600233,2013-10-26,2013-09-30,0.041863,0.100841,0.278796,58480177.630000,0.405116,,165000000.00,165000000.00
sh.600233,2014-03-25,2013-12-31,0.053822,0.094695,0.266196,76559206.690000,0.328205,803263023.120000,165000000.00,165000000.00
sh.600233,2014-04-26,2014-03-31,0.014808,0.114113,0.267651,19248952.240000,0.338747,,165000000.00,165000000.00
sh.600233,2014-08-22,2014-06-30,0.023018,0.094031,0.253318,32749419.760000,0.325300,344851504.850000,165000000.00,165000000.00
sh.600233,2014-10-30,2014-09-30,0.037212,0.083216,0.211475,52698030.550000,0.306224,,165000000.00,165000000.00
sh.600233,2015-04-10,2014-12-31,0.046784,0.075680,0.214505,69516381.880000,0.292307,907339240.310000,165000000.00,165000000.00
sh.600233,2015-04-30,2015-03-31,0.010351,0.063277,0.201583,15317733.610000,0.265658,,165000000.00,165000000.00
sh.600233,2015-08-26,2015-06-30,0.019476,0.068259,0.213343,29836090.420000,0.273092,432380987.090000,165000000.00,165000000.00
sh.600233,2015-10-24,2015-09-30,0.032965,0.074971,0.212256,51641862.020000,0.270378,,165000000.00,165000000.00
sh.600233,2016-03-08,2015-12-31,0.042771,0.077446,0.224948,70304347.950000,0.273606,899380682.900000,165000000.00,165000000.00
sh.600233,2016-04-26,2016-03-31,0.011847,0.081547,0.280699,18912876.350000,0.285243,,165000000.00,165000000.00
sh.600233,2016-08-30,2016-06-30,0.013540,0.066123,0.288492,25926092.010000,0.119148,385401143.680000,330000000.00,330000000.00
sh.600233,2016-10-26,2016-09-30,0.218872,0.085635,0.143453,975839499.990000,0.180555,,2821229621.00,330000000.00
sh.600233,2017-04-28,2016-12-31,0.295827,0.081575,0.135576,1371909976.880000,0.486290,16354484100.000000,2821229621.00,330000000.00
sh.600233,2017-04-28,2017-03-31,0.033468,0.079938,0.117040,279285135.560000,0.492773,,2821229621.00,330000000.00
sh.600233,2017-08-25,2017-06-30,0.083063,0.084357,0.127319,692662935.660000,0.500592,7987040200.000000,2821229621.00,330000000.00
sh.600233,2017-10-26,2017-09-30,0.124141,0.082216,0.129133,1057874275.490000,0.515438,,2821229621.00,783367875.00
sh.600233,2018-03-24,2017-12-31,0.165594,0.072407,0.117346,1446853640.280000,0.510602,19446843002.940000,2825477587.00,783367875.00
sh.600233,2018-04-25,2018-03-31,0.033509,0.059912,0.123085,320012695.740000,0.523448,,2825477587.00,783367875.00
sh.600233,2018-08-25,2018-06-30,0.084237,0.067188,0.131028,810705012.230000,0.548057,11776523823.640000,2830771222.00,783367875.00
sh.600233,2018-10-24,2018-09-30,0.128512,0.068142,0.131004,1269036805.360000,0.578913,,2830771222.00,783367875.00
sh.600233,2019-04-18,2018-12-31,0.183794,0.070332,0.132203,1931688434.190000,0.673107,27002075577.140000,2828647251.00,783367875.00
sh.600233,2019-04-25,2019-03-31,0.031238,0.056749,0.121110,365719065.320000,0.690630,,2828454385.00,783367875.00
sh.600233,2019-08-29,2019-06-30,0.073373,0.061903,0.123339,863728690.600000,0.694768,13811010000.000000,2830868817.00,788235240.00
sh.600233,2019-10-30,2019-09-30,0.114209,0.064104,0.124759,1385691973.680000,0.712691,,2843151300.00,2833661511.00
sh.600233,2020-04-29,2019-12-31,0.136736,0.053956,0.120053,1680785199.360000,0.586614,30692987972.840000,2842930394.00,2835759286.00
