code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600066,2010-04-28,2010-03-31,0.063657,0.060051,0.173777,141560200.340000,1.249712,,519891723.00,428144418.00
sh.600066,2010-08-10,2010-06-30,0.176521,0.065510,0.170272,361966997.970000,1.409568,5265074290.320000,519891723.00,428144418.00
sh.600066,2010-10-26,2010-09-30,0.253103,0.059662,0.171653,544865807.400000,1.485003,,519891723.00,428144418.00
sh.600066,2011-02-24,2010-12-31,0.369753,0.063591,0.173318,857116385.450000,1.653545,12938395276.890000,519891723.00,428144418.00
sh.600066,2011-04-26,2011-03-31,0.069585,0.060419,0.171604,178114157.940000,1.723001,,519891723.00,519891723.00
sh.600066,2011-08-02,2011-06-30,0.163250,0.066087,0.171706,423336103.580000,1.769219,6128527656.750000,519891723.00,519891723.00
sh.600066,2011-10-25,2011-09-30,0.273619,0.066782,0.173281,735242011.420000,2.013749,,519891723.00,519891723.00
sh.600066,2012-03-27,2011-12-31,0.406302,0.069831,0.181996,1182380359.940000,2.272406,16931925945.070000,519891723.00,519891723.00
sh.600066,2012-04-21,2012-03-31,0.053014,0.061055,0.183733,242349547.350000,1.839338,,673660590.00,673660590.00
sh.600066,2012-08-21,2012-06-30,0.125796,0.071165,0.187505,590400343.590000,1.977491,8296243064.930000,673660590.00,673660590.00
sh.600066,2012-10-23,2012-09-30,0.191490,0.073125,0.189148,973218009.320000,1.957884,,705286590.00,673660590.00
sh.600066,2013-03-26,2012-12-31,0.291081,0.078417,0.199651,1549787221.080000,2.197293,18834966209.330000,705286590.00,673660590.00
sh.600066,2013-04-23,2013-03-31,0.035612,0.061317,0.181652,265953766.220000,2.231450,,705286590.00,673660590.00
sh.600066,2013-08-20,2013-06-30,0.085132,0.065396,0.183124,631968468.650000,1.248156,9272535308.100000,1275527862.00,1212589062.00
sh.600066,2013-10-29,2013-09-30,0.119459,0.066056,0.182169,902939766.080000,1.161800,,1273709862.00,1222266222.00
sh.600066,2014-03-25,2013-12-31,0.226943,0.082462,0.194605,1821907900.590000,1.430919,21106934677.460000,1273709862.00,1222649622.00
sh.600066,2014-04-29,2014-03-31,0.031832,0.064537,0.192633,283700176.380000,1.444774,,1273709862.00,1222649622.00
sh.600066,2014-08-30,2014-06-30,0.079302,0.074459,0.196314,695556800.340000,1.481762,8938945034.410000,1273709862.00,1222649622.00
sh.600066,2014-10-22,2014-09-30,0.125340,0.075024,0.194476,1125544568.160000,1.611026,,1270362262.00,1244216442.00
sh.600066,2015-03-31,2014-12-31,0.267255,0.103102,0.242804,2652631091.230000,1.768473,24078420476.900000,1477332262.00,1244864442.00
sh.600066,2015-04-24,2015-03-31,0.033977,0.089965,0.229392,384449481.800000,1.780954,,1477332262.00,1244864442.00
sh.600066,2015-08-25,2015-06-30,0.089748,0.092997,0.233796,965983479.920000,1.235816,9606457117.910000,2215998393.00,1867296663.00
sh.600066,2015-10-27,2015-09-30,0.169613,0.100783,0.238846,1907723838.920000,1.399857,,2213939223.00,1899531423.00
sh.600066,2016-04-05,2015-12-31,0.298771,0.114950,0.253276,3587689128.200000,1.596799,29599691370.550000,2213939223.00,1903484223.00
sh.600066,2016-04-28,2016-03-31,0.029007,0.077059,0.241504,395066413.340000,1.599064,,2213939223.00,1903484223.00
sh.600066,2016-08-23,2016-06-30,0.104529,0.095540,0.248483,1267633937.530000,1.727392,12405053958.730000,2213939223.00,1903484223.00
sh.600066,2016-10-25,2016-09-30,0.184491,0.107932,0.256987,2337714500.770000,1.782460,,2213939223.00,1903484223.00
sh.600066,2017-03-28,2016-12-31,0.305832,0.114429,0.278215,4102339404.090000,1.826493,34036394515.640000,2213939223.00,1903484223.00
sh.600066,2017-04-20,2017-03-31,0.023011,0.084625,0.240231,327368736.910000,1.798345,,2213939223.00,1903484223.00
sh.600066,2017-08-29,2017-06-30,0.062507,0.088787,0.249353,826876923.540000,1.632157,9313067493.100000,2213939223.00,1903484223.00
sh.600066,2017-10-24,2017-09-30,0.141667,0.101579,0.256571,1929493483.200000,1.657563,,2213939223.00,1903484223.00
sh.600066,2018-04-03,2017-12-31,0.215188,0.095354,0.263179,3167845979.770000,1.413406,31022303725.500000,2213939223.00,2213939223.00
sh.600066,2018-04-25,2018-03-31,0.018834,0.063966,0.226934,298025949.080000,1.403685,,2213939223.00,2213939223.00
sh.600066,2018-08-28,2018-06-30,0.040413,0.052146,0.214179,626634101.420000,1.328237,12016992590.110000,2213939223.00,2213939223.00
sh.600066,2018-10-29,2018-09-30,0.077047,0.062549,0.236390,1211836747.500000,1.095146,,2213939223.00,2213939223.00
sh.600066,2019-04-02,2018-12-31,0.143214,0.073344,0.253254,2328380246.890000,1.039547,29516888401.100000,2213939223.00,2213939223.00
sh.600066,2019-04-26,2019-03-31,0.018481,0.064961,0.242827,314321694.760000,1.046742,,2213939223.00,2213939223.00
sh.600066,2019-08-27,2019-06-30,0.041514,0.055424,0.229420,693095184.570000,1.069579,12505412724.780000,2213939223.00,2213939223.00
sh.600066,2019-10-29,2019-09-30,0.079008,0.064403,0.234223,1343597855.550000,1.096980,,2213939223.00,2213939223.00
sh.600066,2020-03-31,2019-12-31,0.113525,0.064329,0.243491,1960722072.400000,0.876363,28333504193.170000,2213939223.00,2213939223.00
