code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600028,2010-04-29,2010-03-31,0.040956,0.037881,0.182173,16600000000.000000,0.758986,,86702527774.00,69922039774.00
sh.600028,2010-08-23,2010-06-30,0.090831,0.039840,0.180979,37311000000.000000,0.732724,936523000000.000000,86702527774.00,69922039774.00
sh.600028,2010-10-29,2010-09-30,0.143971,0.042441,0.186533,60590000000.000000,0.774280,,86702527774.00,69922039774.00
sh.600028,2011-03-28,2010-12-31,0.177157,0.040165,0.196558,76843000000.000000,0.815582,1913182000000.000000,86702527774.00,69922039774.00
sh.600028,2011-04-29,2011-03-31,0.047303,0.037810,0.172365,22264000000.000000,0.862097,,86702527774.00,69922039774.00
sh.600028,2011-08-29,2011-06-30,0.091869,0.035039,0.164925,43212000000.000000,0.855523,1233272000000.000000,86702527774.00,69922039774.00
sh.600028,2011-10-28,2011-09-30,0.135090,0.034429,0.165738,64558000000.000000,0.856676,3697884000000.000000,86702552897.00,69922064897.00
sh.600028,2012-03-26,2011-12-31,0.160123,0.030676,0.164619,76864000000.000000,0.826931,2505683000000.000000,86702562436.00,69922074436.00
sh.600028,2012-04-27,2012-03-31,0.026630,0.021008,0.143837,14104000000.000000,0.737443,,86820234091.00,70039746091.00
sh.600028,2012-08-27,2012-06-30,0.049517,0.018505,0.145127,24946000000.000000,0.635278,1348072000000.000000,86820276984.00,70039788984.00
sh.600028,2012-10-29,2012-09-30,0.086781,0.021638,0.148192,43812000000.000000,0.618323,3983252000000.000000,86820285884.00,70039797884.00
sh.600028,2013-03-25,2012-12-31,0.128564,0.023837,0.148530,66411000000.000000,0.731350,2786045000000.000000,86820286886.00,70039798886.00
sh.600028,2013-04-26,2013-03-31,0.029797,0.024197,0.151697,16831000000.000000,0.741656,,89665582047.00,70039801175.00
sh.600028,2013-08-26,2013-06-30,0.055516,0.022260,0.142515,31504000000.000000,0.593796,1415244000000.000000,116565277972.00,91051836308.00
sh.600028,2013-10-30,2013-09-30,0.096449,0.025687,0.146027,54969000000.000000,0.627545,,116565280654.00,91051842054.00
sh.600028,2014-03-24,2013-12-31,0.123979,0.024781,0.146953,71377000000.000000,0.576321,2880311000000.000000,116565313787.00,91051875187.00
sh.600028,2014-04-29,2014-03-31,0.023325,0.022591,0.157121,14482000000.000000,0.555004,,116795461570.00,91282022970.00
sh.600028,2014-08-23,2014-06-30,0.054286,0.024108,0.153464,32694000000.000000,0.592420,1356172000000.000000,116795542640.00,91282104040.00
sh.600028,2014-10-31,2014-09-30,0.087906,0.025336,0.147434,53603000000.000000,0.571494,,116795601173.00,91282162573.00
sh.600028,2015-03-23,2014-12-31,0.081437,0.017308,0.140449,48910000000.000000,0.400996,2825914000000.000000,118280395640.00,92766957040.00
sh.600028,2015-04-30,2015-03-31,0.002662,0.004140,0.194379,1980000000.000000,0.294356,,121071209646.00,95557771046.00
sh.600028,2015-08-27,2015-06-30,0.038288,0.029357,0.212069,30542000000.000000,0.333911,1040362000000.000000,121071209646.00,95557771046.00
sh.600028,2015-10-30,2015-09-30,0.040706,0.022481,0.208077,34549000000.000000,0.182612,,121071209646.00,95557771046.00
sh.600028,2016-03-30,2015-12-31,0.050726,0.021470,0.211063,43346000000.000000,0.266017,2018883000000.000000,121071209646.00,95557771046.00
sh.600028,2016-04-29,2016-03-31,0.009085,0.021811,0.242879,9025000000.000000,0.303185,,121071209646.00,95557771046.00
sh.600028,2016-08-29,2016-06-30,0.028137,0.030005,0.243428,26381000000.000000,0.223018,879220000000.000000,121071209646.00,95557771046.00
sh.600028,2016-10-28,2016-09-30,0.042638,0.029378,0.235887,40070000000.000000,0.293051,,121071209646.00,95557771046.00
sh.600028,2017-03-27,2016-12-31,0.066901,0.030644,0.227222,59170000000.000000,0.383378,1930911000000.000000,121071209646.00,95557771046.00
sh.600028,2017-04-28,2017-03-31,0.023088,0.037244,0.199021,21683000000.000000,0.469633,,121071209646.00,95557771046.00
sh.600028,2017-08-28,2017-06-30,0.037862,0.030979,0.191480,36117000000.000000,0.448149,1165837000000.000000,121071209646.00,95557771046.00
sh.600028,2017-10-31,2017-09-30,0.053716,0.029702,0.194503,51829000000.000000,0.459424,,121071209646.00,95557771046.00
sh.600028,2018-03-26,2017-12-31,0.071024,0.029783,0.199049,70294000000.000000,0.422223,2360193000000.000000,121071209646.00,95557771046.00
sh.600028,2018-04-27,2018-03-31,0.025485,0.039472,0.193115,24522000000.000000,0.439873,,121071209646.00,95557771046.00
sh.600028,2018-08-27,2018-06-30,0.057441,0.040977,0.191911,53281000000.000000,0.542053,1300252000000.000000,121071209646.00,95557771046.00
sh.600028,2018-10-31,2018-09-30,0.082756,0.036556,0.181522,75779000000.000000,0.600688,,121071209646.00,95557771046.00
sh.600028,2019-03-25,2018-12-31,0.087284,0.027770,0.169539,80289000000.000000,0.521090,2891179000000.000000,121071209646.00,95557771046.00
sh.600028,2019-04-30,2019-03-31,0.020251,0.025741,0.168855,18471000000.000000,0.487994,,121071209646.00,95557771046.00
sh.600028,2019-08-26,2019-06-30,0.043439,0.025988,0.157374,38956000000.000000,0.436330,1498996000000.000000,121071209646.00,95557771046.00
sh.600028,2019-10-31,2019-09-30,0.059936,0.024387,0.157713,54464000000.000000,0.383163,,121071209646.00,95557771046.00
sh.600028,2020-03-30,2019-12-31,0.079026,0.024315,0.160927,72122000000.000000,0.475679,2966193000000.000000,121071209646.00,95557771046.00
