code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600276,2010-04-22,2010-03-31,0.075913,0.221824,0.849296,209063667.530000,0.881125,,744891864.00,744891864.00
sh.600276,2010-08-07,2010-06-30,0.141077,0.216349,0.848252,404444459.120000,0.917839,1866317653.220000,744891864.00,744891864.00
sh.600276,2010-10-30,2010-09-30,0.193510,0.207165,0.844905,582968431.230000,1.009028,,749433164.00,744891864.00
sh.600276,2011-03-02,2010-12-31,0.241588,0.201767,0.838278,755435738.540000,0.966295,3727728973.300000,749433164.00,744891864.00
sh.600276,2011-04-25,2011-03-31,0.072247,0.237764,0.826876,266106762.790000,1.034401,,749433164.00,744891864.00
sh.600276,2011-08-06,2011-06-30,0.130025,0.228288,0.833094,494636533.890000,0.712229,2157934592.390000,1124149746.00,1117337796.00
sh.600276,2011-10-28,2011-09-30,0.181488,0.214927,0.829631,713390601.180000,0.740657,,1124149746.00,1120062576.00
sh.600276,2012-03-20,2011-12-31,0.230337,0.206665,0.827676,940405300.500000,0.779799,4494625366.100000,1124149746.00,1120062576.00
sh.600276,2012-04-27,2012-03-31,0.068975,0.237289,0.832630,317966414.270000,0.822124,,1124149746.00,1120062576.00
sh.600276,2012-08-10,2012-06-30,0.125019,0.226197,0.843608,590544952.930000,0.781361,2593255902.890000,1236564721.00,1232068834.00
sh.600276,2012-10-27,2012-09-30,0.175546,0.211573,0.846075,854669936.470000,0.816133,,1236564721.00,1234316778.00
sh.600276,2013-04-02,2012-12-31,0.228301,0.211848,0.839855,1151406936.180000,0.871272,5435067561.200000,1236564721.00,1234316778.00
sh.600276,2013-04-25,2013-03-31,0.062535,0.232549,0.840198,344603701.200000,0.899339,,1236564721.00,1234316778.00
sh.600276,2013-08-17,2013-06-30,0.116994,0.222001,0.798911,659177883.300000,0.854407,2964956561.110000,1360221193.00,1357748456.00
sh.600276,2013-10-29,2013-09-30,0.164430,0.210128,0.805223,953394150.600000,0.881294,,1360221193.00,1360221193.00
sh.600276,2014-04-09,2013-12-31,0.213996,0.208292,0.813305,1292052671.620000,0.910227,6203074355.430000,1360221193.00,1360221193.00
sh.600276,2014-04-28,2014-03-31,0.059573,0.232260,0.816683,399810799.350000,0.949705,,1360221193.00,1360221193.00
sh.600276,2014-08-16,2014-06-30,0.112748,0.223420,0.814409,784304630.930000,0.906331,3497817112.660000,1496243312.00,1496243312.00
sh.600276,2014-10-28,2014-09-30,0.161185,0.210788,0.822815,1157154918.330000,0.950342,,1503992812.00,1496243312.00
sh.600276,2015-03-31,2014-12-31,0.212092,0.211068,0.823783,1572929123.490000,1.007697,7444947983.200000,1503992812.00,1496243312.00
sh.600276,2015-04-18,2015-03-31,0.066594,0.253300,0.835771,558260191.160000,1.111344,,1505015812.00,1496243312.00
sh.600276,2015-08-25,2015-06-30,0.126190,0.247550,0.843590,1085802265.580000,0.928605,4382717743.220000,1956499106.00,1945116306.00
sh.600276,2015-10-28,2015-09-30,0.181254,0.233575,0.850113,1604849833.900000,1.007081,,1956499106.00,1948386716.00
sh.600276,2016-04-13,2015-12-31,0.243099,0.238727,0.852761,2223969791.870000,1.109927,9141957621.770000,1956499106.00,1949137466.00
sh.600276,2016-04-26,2016-03-31,0.066574,0.256000,0.856488,683162478.650000,1.179952,,1956469076.00,1949669426.00
sh.600276,2016-08-30,2016-06-30,0.125188,0.250141,0.866532,1320521311.400000,1.032752,5273624241.640000,2347762891.00,2339603311.00
sh.600276,2016-10-29,2016-09-30,0.178117,0.235366,0.868464,1945080037.780000,1.076995,,2347762891.00,2342477697.00
sh.600276,2017-03-11,2016-12-31,0.231992,0.237449,0.870681,2634194796.550000,1.102874,11075955839.090000,2347459674.00,2343091596.00
sh.600276,2017-04-21,2017-03-31,0.063449,0.254853,0.867990,807720648.290000,1.157192,,2347459674.00,2343570360.00
sh.600276,2017-08-30,2017-06-30,0.120814,0.251186,0.865791,1593675511.800000,1.011066,,2816889833.00,2812284432.00
sh.600276,2017-10-19,2017-09-30,0.173606,0.236862,0.865459,2384282532.730000,1.060792,,2816883038.00,2816308521.00
sh.600276,2018-04-16,2017-12-31,0.231782,0.238005,0.866296,3292953303.960000,1.141917,13824074016.320000,2816883038.00,2816308521.00
sh.600276,2018-04-27,2018-03-31,0.059782,0.252306,0.864692,973175930.720000,1.184140,,2832648038.00,2816883038.00
sh.600276,2018-08-10,2018-06-30,0.117743,0.250530,0.866091,1944298750.130000,0.964845,,3682442449.00,3661947949.00
sh.600276,2018-10-26,2018-09-30,0.171679,0.237030,0.865350,2953100017.840000,1.032142,,3682442449.00,3661947949.00
sh.600276,2019-02-16,2018-12-31,0.231685,0.233162,0.865967,4061184290.160000,1.104162,17401640236.930000,3682077149.00,3661947949.00
sh.600276,2019-04-17,2019-03-31,0.059402,0.240349,0.863830,1193780121.860000,0.974164,,4423034469.00,4403915003.00
sh.600276,2019-08-30,2019-06-30,0.116272,0.240696,0.866894,2413287165.890000,1.032895,,4422814197.00,4403915003.00
sh.600276,2019-10-25,2019-09-30,0.174196,0.220318,0.871792,3733291522.250000,1.105310,,4422814197.00,4403915003.00
sh.600276,2020-03-23,2019-12-31,0.239443,0.228715,0.874920,5326451772.090000,1.204669,23246797137.710000,4422814197.00,4403915003.00
