code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600011,2010-04-21,2010-03-31,0.023019,0.046891,0.120053,1141250825.000000,0.444413,,12055383440.00,2878213333.00
sh.600011,2010-08-11,2010-06-30,0.050059,0.043551,0.113950,2127656391.000000,0.425903,48296466832.000000,12055383440.00,2878213333.00
sh.600011,2010-10-20,2010-09-30,0.076409,0.042306,0.115500,3248744157.000000,0.339822,,12055383440.00,2878213333.00
sh.600011,2011-03-30,2010-12-31,0.075486,0.035283,0.110148,3680328161.000000,0.252167,102738253852.000000,14055383440.00,2878213333.00
sh.600011,2011-04-20,2011-03-31,0.004249,0.008137,0.089251,247369183.000000,0.200474,,14055383440.00,2878213333.00
sh.600011,2011-08-10,2011-06-30,0.022632,0.018858,0.098446,1207928518.000000,0.191888,63004352702.000000,14055383440.00,9000000000.00
sh.600011,2011-10-26,2011-09-30,0.027361,0.014705,0.091383,1467698389.000000,0.128662,,14055383440.00,9000000000.00
sh.600011,2012-03-21,2011-12-31,0.024634,0.010225,0.086973,1364259259.000000,0.090232,132464235144.000000,14055383440.00,10000000000.00
sh.600011,2012-04-25,2012-03-31,0.018106,0.033889,0.130579,1161066871.000000,0.139544,,14055383440.00,3721716679.00
sh.600011,2012-08-01,2012-06-30,0.043533,0.038513,0.139152,2587296567.000000,0.163495,66448162194.000000,14055383440.00,3721716679.00
sh.600011,2012-10-24,2012-09-30,0.080605,0.049900,0.155935,4995851877.000000,0.288318,,14055383440.00,10000000000.00
sh.600011,2013-03-20,2012-12-31,0.111090,0.051150,0.162952,6852454047.000000,0.417538,132368677501.000000,14055383440.00,10000000000.00
sh.600011,2013-04-24,2013-03-31,0.044995,0.102385,0.223797,3290254439.000000,0.533813,,14055383440.00,10000000000.00
sh.600011,2013-07-31,2013-06-30,0.104422,0.110942,0.230086,7107175822.000000,0.679798,63677015973.000000,14055383440.00,10000000000.00
sh.600011,2013-10-23,2013-09-30,0.158126,0.112353,0.240355,11149673925.000000,0.772711,,14055383440.00,10000000000.00
sh.600011,2014-03-19,2013-12-31,0.179328,0.097916,0.231392,13104348226.000000,0.748477,132964778500.000000,14055383440.00,10500000000.00
sh.600011,2014-04-23,2014-03-31,0.057773,0.139032,0.247283,4563753288.000000,0.828812,,14055383440.00,10500000000.00
sh.600011,2014-07-30,2014-06-30,0.106967,0.128828,0.255283,8322991216.000000,0.805947,64225164019.000000,14055383440.00,10500000000.00
sh.600011,2014-10-22,2014-09-30,0.155522,0.130406,0.256053,12340006283.000000,0.806026,,14055383440.00,10500000000.00
sh.600011,2015-03-25,2014-12-31,0.161070,0.106567,0.250356,13364213038.000000,0.731309,124561854020.000000,14420383440.00,10500000000.00
sh.600011,2015-04-22,2015-03-31,0.072141,0.181742,0.309599,6229675361.000000,0.791938,,14420383440.00,10500000000.00
sh.600011,2015-08-26,2015-06-30,0.130141,0.171230,0.304663,11182287292.000000,0.833713,65305472046.000000,14420383440.00,10500000000.00
sh.600011,2015-10-21,2015-09-30,0.184114,0.167649,0.303377,16303776109.000000,0.862903,,14420383440.00,10500000000.00
sh.600011,2016-03-23,2015-12-31,0.185537,0.136144,0.290009,17549677071.000000,0.906954,128165814021.000000,15200383440.00,10500000000.00
sh.600011,2016-04-27,2016-03-31,0.048378,0.173340,0.317287,4996157045.000000,0.835475,,15200383440.00,10500000000.00
sh.600011,2016-08-03,2016-06-30,0.079161,0.146531,0.285134,7755069237.000000,0.724968,52629240515.000000,15200383440.00,10500000000.00
sh.600011,2016-10-26,2016-09-30,0.115777,0.138293,0.268883,11508845249.000000,0.653931,,15200383440.00,10500000000.00
sh.600011,2017-03-22,2016-12-31,0.109542,0.094770,0.214598,10786224818.000000,0.579873,113137388063.000000,15200383440.00,10500000000.00
sh.600011,2017-04-26,2017-03-31,0.008393,0.025811,0.123047,969898756.000000,0.293526,,15200383440.00,10500000000.00
sh.600011,2017-08-02,2017-06-30,0.010425,0.014519,0.114890,1037159900.000000,0.119911,71433688713.000000,15200383440.00,10500000000.00
sh.600011,2017-10-25,2017-09-30,0.036299,0.030112,0.120543,3344665636.000000,0.035770,,15200383440.00,10500000000.00
sh.600011,2018-03-14,2017-12-31,0.022835,0.014080,0.113146,2146571985.000000,0.117967,149231631528.000000,15200383440.00,10500000000.00
sh.600011,2018-04-25,2018-03-31,0.016012,0.039947,0.134855,1727935730.000000,0.155268,,15200383440.00,10500000000.00
sh.600011,2018-08-01,2018-06-30,0.028090,0.033801,0.131517,2785369253.000000,0.206198,82404918640.000000,15200383440.00,10500000000.00
sh.600011,2018-10-24,2018-09-30,0.025461,0.022296,0.125020,2809049159.000000,0.063663,,15200383440.00,10500000000.00
sh.600011,2019-03-20,2018-12-31,0.018126,0.014173,0.113044,2407407595.000000,0.091660,167439326313.000000,15698093359.00,10500000000.00
sh.600011,2019-04-26,2019-03-31,0.031352,0.078292,0.183108,3574161399.000000,0.181883,,15698093359.00,10500000000.00
sh.600011,2019-07-31,2019-06-30,0.045102,0.058239,0.164023,4858104522.000000,0.199137,83417373675.000000,15698093359.00,10500000000.00
sh.600011,2019-10-23,2019-09-30,0.062068,0.053203,0.157905,6769121374.000000,0.308256,,15698093359.00,10500000000.00
sh.600011,2020-04-01,2019-12-31,0.018554,0.013707,0.145906,2377913891.000000,0.107431,165159547077.000000,15698093359.00,10997709919.00
