code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600104,2010-04-29,2010-03-31,0.065614,0.075521,0.187635,4731754517.310000,1.348962,,6554954737.00,6554954737.00
sh.600104,2010-08-26,2010-06-30,0.129768,0.071936,0.190736,10579734743.640000,1.292818,147072311446.190000,8521441158.00,8521441158.00
sh.600104,2010-10-28,2010-09-30,0.203698,0.073834,0.193245,16863915870.560000,1.431888,,8521441158.00,8521441158.00
sh.600104,2011-03-31,2010-12-31,0.252753,0.073068,0.193874,22832773719.610000,1.485382,307453785960.990000,9242421691.00,8521441158.00
sh.600104,2011-04-28,2011-03-31,0.065773,0.081126,0.205286,7820281011.320000,1.661154,,9242421691.00,8521441158.00
sh.600104,2011-08-29,2011-06-30,0.123834,0.079052,0.197313,14485284471.170000,1.778138,183238078445.270000,9242421691.00,8521441158.00
sh.600104,2011-10-27,2011-09-30,0.185813,0.078417,0.192613,21956473358.740000,1.886613,,9242421691.00,8521441158.00
sh.600104,2012-03-30,2011-12-31,0.239977,0.080790,0.187546,34989631033.190000,1.834089,434803949080.550000,11025566629.00,9170323637.00
sh.600104,2012-04-28,2012-03-31,0.053119,0.078011,0.179199,9616637644.470000,1.867149,,11025566629.00,9170323637.00
sh.600104,2012-08-30,2012-06-30,0.101819,0.077186,0.173061,18074128586.910000,1.881373,234163203442.810000,11025566629.00,9170323637.00
sh.600104,2012-10-31,2012-09-30,0.148726,0.074166,0.164144,26032308106.190000,1.888196,,11025566629.00,9170323637.00
sh.600104,2013-03-29,2012-12-31,0.184707,0.070079,0.162759,33528253727.760000,1.882149,480979671654.730000,11025566629.00,9170323637.00
sh.600104,2013-04-26,2013-03-31,0.049558,0.063046,0.110856,9120744001.670000,1.935743,,11025566629.00,9170323637.00
sh.600104,2013-08-30,2013-06-30,0.092286,0.059840,0.108467,16720715375.120000,1.944026,280927527585.750000,11025566629.00,9170323637.00
sh.600104,2013-10-31,2013-09-30,0.141135,0.061265,0.112280,25693338548.570000,2.051465,,11025566629.00,9170323637.00
sh.600104,2014-03-28,2013-12-31,0.190728,0.063165,0.128442,35583941512.530000,2.249646,565807011579.820000,11025566629.00,9242421691.00
sh.600104,2014-04-30,2014-03-31,0.049517,0.060541,0.117156,10144280414.630000,2.320556,,11025566629.00,9242421691.00
sh.600104,2014-08-14,2014-06-30,0.098486,0.060530,0.116118,19264370254.560000,2.440736,320014086995.180000,11025566629.00,9242421691.00
sh.600104,2014-10-31,2014-09-30,0.144444,0.060848,0.114622,28510373186.750000,2.468396,,11025566629.00,9242421691.00
sh.600104,2015-04-03,2014-12-31,0.189380,0.061034,0.123623,38250773022.040000,2.537143,626712394486.860000,11025566629.00,11025566629.00
sh.600104,2015-04-30,2015-03-31,0.046265,0.062525,0.106527,10492839726.220000,2.581363,,11025566629.00,11025566629.00
sh.600104,2015-08-28,2015-06-30,0.089449,0.062250,0.102544,19904835826.720000,2.590872,323615489084.120000,11025566629.00,11025566629.00
sh.600104,2015-10-30,2015-09-30,0.131463,0.062369,0.108133,29303434181.840000,2.614480,,11025566629.00,11025566629.00
sh.600104,2016-04-22,2015-12-31,0.179053,0.060592,0.114218,40073969223.240000,2.702246,661373929792.650000,11025566629.00,11025566629.00
sh.600104,2016-04-30,2016-03-31,0.044226,0.062243,0.125804,11373265171.690000,2.744687,,11025566629.00,11025566629.00
sh.600104,2016-08-25,2016-06-30,0.085803,0.061549,0.123956,21314167330.590000,2.783339,351265344523.520000,11025566629.00,11025566629.00
sh.600104,2016-10-29,2016-09-30,0.128536,0.061623,0.124201,32281510195.150000,2.868183,,11025566629.00,11025566629.00
sh.600104,2017-04-06,2016-12-31,0.174410,0.058912,0.128670,43961961698.340000,2.903126,756416165065.290000,11025566629.00,11025566629.00
sh.600104,2017-04-29,2017-03-31,0.040552,0.059677,0.131826,11527762951.630000,2.767579,,11683461365.00,11025566629.00
sh.600104,2017-08-30,2017-06-30,0.080239,0.056225,0.128412,21933720305.310000,2.816506,,11683461365.00,11025566629.00
sh.600104,2017-10-31,2017-09-30,0.120918,0.055925,0.131858,33466371237.790000,2.872055,,11683461365.00,11025566629.00
sh.600104,2018-03-30,2017-12-31,0.164936,0.054915,0.134730,47116097512.190000,2.945218,870639427000.070000,11683461365.00,11025566629.00
sh.600104,2018-04-28,2018-03-31,0.042233,0.059791,0.130690,14042029794.150000,3.068952,,11683461365.00,11503432857.00
sh.600104,2018-08-31,2018-06-30,0.085184,0.058517,0.131302,26752561088.180000,3.204015,,11683461365.00,11503432857.00
sh.600104,2018-10-30,2018-09-30,0.121360,0.057552,0.133678,38166413386.790000,3.204878,,11683461365.00,11503432857.00
sh.600104,2019-04-02,2018-12-31,0.156663,0.054533,0.132534,48404663401.860000,3.082067,902194064732.240000,11683461365.00,11503432857.00
sh.600104,2019-04-30,2019-03-31,0.034388,0.055963,0.127160,10969530044.400000,2.957460,,11683461365.00,11503432857.00
sh.600104,2019-08-30,2019-06-30,0.058376,0.049806,0.126114,18324471161.570000,2.635493,,11683461365.00,11503432857.00
sh.600104,2019-10-31,2019-09-30,0.086821,0.048610,0.124864,27844749252.740000,2.493218,,11683461365.00,11503432857.00
sh.600104,2020-04-14,2019-12-31,0.105784,0.042695,0.121508,35288906907.630000,2.191421,843324372577.260000,11683461365.00,11503432857.00
